Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
diiegospyckerzs,Diiego Spyckerzs,808.5K,808500,2.8M,2800000,154.5K,154500,3K,3000,11.8K,11800
dilanjaniyar,Emang namanya Dilan,1.7M,1700000,2.2M,2200000,283.9K,283900,1.6K,1600,1.1K,1100
dilanjaniyar_2,Emang Dilan namanya,2.5M,2500000,2.2M,2200000,262.7K,262700,1.6K,1600,1.3K,1300
dilaraaduman,Dilara Duman,2.2M,2200000,4.7M,4700000,338.3K,338300,1.5K,1500,1K,1000
dissectpodcast,dissectpodcast,471.6K,471600,1.3M,1300000,252.5K,252500,1.4K,1400,5.3K,5300
ditanganu,DitaKerang🌊,5.9M,5900000,3.6M,3600000,416.1K,416100,2.4K,2400,768,768
dj_hyo,Hyoyeon_djhyo,1.6M,1600000,3.2M,3200000,606.7K,606700,5.6K,5600,3.2K,3200
djsnake,DJ Snake,2.3M,2300000,2.2M,2200000,247.8K,247800,1.9K,1900,1.5K,1500
dmcomics,DM,493.4K,493400,1.7M,1700000,169.1K,169100,2.2K,2200,10.1K,10100
domelipa,Dominik,54.2M,54200000,8.6M,8600000,1.5M,1500000,14.3K,14300,4.1K,4100
dontstopmeowing,Kareem & Fifi,11M,11000000,1.8M,1800000,224.4K,224400,1.1K,1100,1.7K,1700
dorychang_03,ChangDory🐬,3.8M,3800000,3.9M,3900000,341.5K,341500,1.5K,1500,943,943
dovecameron,Dove Cameron,11.6M,11600000,2.8M,2800000,538.8K,538800,1.5K,1500,492,492
drewafualo,Drew Afualo,7.4M,7400000,2.7M,2700000,568.2K,568200,3.7K,3700,1.4K,1400
drisantosbr,drisantosbr,3M,3000000,1.5M,1500000,197K,197000,1.7K,1700,2.4K,2400
droop314,Droop314,465.9K,465900,997.2K,997200,70.2K,70200,1.3K,1300,13.1K,13100
druskitv,DRUSKI,3.5M,3500000,2.8M,2800000,519.5K,519500,3K,3000,9.4K,9400
dualipaofficial,Dua Lipa,8.4M,8400000,3.1M,3100000,178.7K,178700,1.6K,1600,2K,2000
dudamaryah,dudamaryah,5.2M,5200000,2.2M,2200000,367.7K,367700,1.4K,1400,1.3K,1300
dudamaryah,dudamaryah,5.2M,5200000,2.2M,2200000,367.7K,367700,1.4K,1400,1.3K,1300
duncanyounot,Duncan Joseph,4.3M,4300000,720.5K,720500,246.4K,246400,2.9K,2900,1.9K,1900
dunkmvp,DunkMVP,3.3M,3300000,4.6M,4600000,698.7K,698700,1.3K,1300,2.2K,2200
dxbxd,Saad Abdullah,2.4M,2400000,1.8M,1800000,219.1K,219100,2.2K,2200,1.5K,1500
dylanmulvaney,Dylan Mulvaney,5.4M,5400000,3.1M,3100000,700K,700000,7.3K,7300,1.8K,1800
dylanpage.ning,Dylan Page,2.8M,2800000,2.2M,2200000,344.3K,344300,5.2K,5200,2.6K,2600
earlthejackass,Earl,84.5K,84500,2.9M,2900000,359.2K,359200,3.8K,3800,14.1K,14100
editnessbarrett,NESS,157.3K,157300,1.5M,1500000,275.7K,275700,1.8K,1800,845,845
edpeople,Ed People,1.4M,1400000,1.8M,1800000,278.1K,278100,1.8K,1800,1.5K,1500
edsheeran,Ed Sheeran,11.4M,11400000,1.8M,1800000,166.9K,166900,2K,2000,672,672
eduardbaka,Eduard,1.5M,1500000,1.4M,1400000,233.6K,233600,1.9K,1900,978,978
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14.7M,14700000,3.2M,3200000,514.3K,514300,1.1K,1100,249,249
eggrollfish,7aizagatha,56.5K,56500,2.2M,2200000,438.3K,438300,3.2K,3200,7.9K,7900
ehbeefamily,Eh Bee Family,11.4M,11400000,3.4M,3400000,344.5K,344500,1.3K,1300,761,761
ehlija,Eh Lija,3.9M,3900000,3.1M,3100000,402.7K,402700,1.8K,1800,1.7K,1700
el_chicanero,El_chicanero,2.7M,2700000,2.5M,2500000,227.1K,227100,1.5K,1500,7K,7000
el_creador_del_sex3,HOLAS🕺,31.2K,31200,1.3M,1300000,134K,134000,1.7K,1700,3.1K,3100
el.pollofritoxd,por fin a alguien,89.2K,89200,1.2M,1200000,220.8K,220800,4.1K,4100,8.9K,8900
elchimbatv,EL CHIMBA,1.7M,1700000,3.4M,3400000,277.9K,277900,1.2K,1200,3.7K,3700
elinameng,elina meng,2.1M,2100000,4.2M,4200000,558.4K,558400,886,886,598,598
elliotforbes,Elliot Forbes,8.3M,8300000,3.5M,3500000,292.2K,292200,628,628,311,311
elmercanchi,Que chimba sog,1.5M,1500000,4.2M,4200000,362.9K,362900,2.4K,2400,7.2K,7200
elongggg,ELONGGGG,2M,2000000,2.1M,2100000,339.8K,339800,2K,2000,589,589
elrodcontreras,ROD🫠,41.1M,41100000,3.6M,3600000,496.7K,496700,3.8K,3800,622,622
elysemyers,Elyse Myers,5.1M,5100000,1.5M,1500000,172.7K,172700,2.7K,2700,1.7K,1700
em.ire,irene,259.5K,259500,1.2M,1200000,211.6K,211600,2.2K,2200,2.8K,2800
emiliamernes,Emilia Mernes,3.9M,3900000,10.8M,10800000,1.6M,1600000,3.9K,3900,2.7K,2700
emillyvickof,Emilly Vick,10.3M,10300000,4.4M,4400000,354K,354000,707,707,638,638
emilmario69,emilmario,7M,7000000,5.5M,5500000,199.9K,199900,3.7K,3700,1.3K,1300
emilyfauver,emily&ella,3.6M,3600000,2.6M,2600000,380.2K,380200,730,730,1.3K,1300
emilymariko,Emily Mariko,10.9M,10900000,3.3M,3300000,309.1K,309100,945,945,560,560
emmybear1005,Emily,1.6M,1600000,4M,4000000,431.3K,431300,2.8K,2800,2K,2000
engfa32,ENGFA,2.7M,2700000,1.7M,1700000,233.3K,233300,1.6K,1600,829,829
enhypen,enhypen,11.8M,11800000,8M,8000000,2.4M,2400000,63K,63000,40.6K,40600
enzomk_,enzomk,879.7K,879700,2.7M,2700000,229.6K,229600,1.1K,1100,9.6K,9600
erictro,Eric Tro,3.9M,3900000,5.5M,5500000,534K,534000,618,618,1.1K,1100
erinboyle_np,Erin Boyle,5.9K,5900,1.8M,1800000,123.6K,123600,2.5K,2500,20.1K,20100
esnyrdump,esnyrDUMP,896.1K,896100,2.4M,2400000,409.7K,409700,3.3K,3300,1.8K,1800
estanahi,Anahí,1.3M,1300000,2.9M,2900000,419.5K,419500,833,833,571,571
estetsh0,Belal L Galy,1.1M,1100000,1.2M,1200000,165.8K,165800,1.1K,1100,4.1K,4100
eupereiraoficial,Eu Pereira,7.2M,7200000,9.9M,9900000,776.6K,776600,4.2K,4200,7.7K,7700
euro2024,EURO2024,7.2M,7200000,2.1M,2100000,390.5K,390500,2.7K,2700,2K,2000
euwillou,Willou,8.6M,8600000,2.3M,2300000,360.9K,360900,1.7K,1700,2.7K,2700
everydaycode,Everyday Code,223.3K,223300,2.7M,2700000,235.4K,235400,1.1K,1100,2.3K,2300
expeditionevans,Expedition Evans,271.3K,271300,3M,3000000,355.7K,355700,542,542,2K,2000
eyavanana,Eya,12.3M,12300000,2.9M,2900000,492.5K,492500,1.7K,1700,1.2K,1200
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,12.3M,12300000,2.9M,2900000,375.9K,375900,1.2K,1200,537,537
fabru_blacutt,Fabru,18.1M,18100000,2.2M,2200000,242.9K,242900,2.4K,2400,562,562
fadiljaidi,Fadil Jaidi,8.3M,8300000,10.7M,10700000,1.7M,1700000,11.4K,11400,8.2K,8200
fahmi.n1997,fahmi.N1997,1.9M,1900000,4M,4000000,389.5K,389500,1.7K,1700,835,835
fahmi.nm,Fahmi,8.3M,8300000,2.7M,2700000,260.9K,260900,1.4K,1400,738,738
faithkristin,faith kristin☁️,592.1K,592100,1.8M,1800000,271.7K,271700,4.8K,4800,5.1K,5100
farhakhalidi,Farha Khalidi,1.4M,1400000,2M,2000000,364.7K,364700,2.6K,2600,2.2K,2200
farhanrn__,FARHAN,4.7M,4700000,4.2M,4200000,688K,688000,3.2K,3200,1.7K,1700
faryanggaa,Ryann,5.2M,5200000,1.8M,1800000,344.4K,344400,1.5K,1500,491,491
fedevigevani,Fede Vigevani,13.6M,13600000,3.3M,3300000,437.7K,437700,2.3K,2300,561,561
fedez,fedez,5.5M,5500000,2.8M,2800000,422.4K,422400,1.2K,1200,2.3K,2300
felipenpv,Felipe Paiva,2.2M,2200000,2.8M,2800000,515.5K,515500,5.5K,5500,4.5K,4500
femin,Thiên Ân,2.1M,2100000,2.9M,2900000,254.5K,254500,4.5K,4500,573,573
fendibaee,🤍,54.9K,54900,788.7K,788700,206K,206000,3.6K,3600,3.1K,3100
ferchugimenez,Fernanda,6.1M,6100000,4.1M,4100000,729.3K,729300,1.8K,1800,1.2K,1200
ferxxo444,Feid,2.6M,2600000,1.2M,1200000,234.8K,234800,1.4K,1400,4.5K,4500
firmanskd,𝙆𝙊𝘾𝘼𝙉,2.7M,2700000,2.3M,2300000,212.6K,212600,654,654,9.9K,9900
firmanskd,𝙆𝙊𝘾𝘼𝙉,2.7M,2700000,2.3M,2300000,212.6K,212600,654,654,9.9K,9900
flavinhalouise,Flavinhalouise,11.5M,11500000,1.4M,1400000,128K,128000,740,740,3.6K,3600
fleekedbymitch,fleekedbymitch,821.2K,821200,5.6M,5600000,590.9K,590900,3.2K,3200,3.8K,3800
flickerspark_,flickerspark_,1.2M,1200000,2.1M,2100000,516.8K,516800,1.4K,1400,1.5K,1500
fontenel.le,fontenelle,243.8K,243800,1.2M,1200000,259.5K,259500,2.2K,2200,540,540
foodtimecali,Juan C | RECETAS FOODTIME,4.1M,4100000,3.8M,3800000,284K,284000,655,655,20.8K,20800
football.clips_09,Football & FIFA Content ⚽️,224.5K,224500,3.3M,3300000,323K,323000,1.7K,1700,1.1K,1100
fox.brown,Fox,391.7K,391700,1.8M,1800000,308.2K,308200,1.6K,1600,3.4K,3400
frankielapenna,Frankie LaPenna,3.4M,3400000,7.1M,7100000,316.7K,316700,1.2K,1200,4.1K,4100
freeritzyralph,Ritzyralph,1.6M,1600000,1.1M,1100000,281.5K,281500,2K,2000,2.4K,2400
frnzlynfby,Feby,2.4M,2400000,1.4M,1400000,324.7K,324700,1.5K,1500,1.7K,1700
fujiiian,Fuji,15.4M,15400000,4.3M,4300000,449.4K,449400,2.1K,2100,1.9K,1900
furryfritz,furryfritz,3.9M,3900000,1.7M,1700000,271.6K,271600,1.1K,1100,2.5K,2500
fyp,jack neel,8.3M,8300000,1.8M,1800000,372.2K,372200,762,762,544,544
g.catt.eng,Dennis loves cats,2M,2000000,1.9M,1900000,219.9K,219900,1.1K,1100,1.3K,1300
gameboytok,Gameboyrl,33.9K,33900,2.8M,2800000,424.5K,424500,1.3K,1300,3.1K,3100
gemelasabello2,gemelasabello2,15.7M,15700000,5.7M,5700000,554.8K,554800,1K,1000,1.8K,1800
german_crusader,Stardust Crusader,158.6K,158600,1.1M,1100000,208.9K,208900,1.7K,1700,4.6K,4600
germangarmendia,German Garmendia,17.5M,17500000,8.8M,8800000,1.6M,1600000,17.2K,17200,9K,9000
ghait6h,غيث خالد,1.1M,1100000,1.6M,1600000,176.5K,176500,4.3K,4300,674,674
giangiu88,GiaNGiu,3.7M,3700000,2.5M,2500000,304.5K,304500,1.2K,1200,2.7K,2700
giannis_an34,Giannis Antetokounmpo,3.4M,3400000,1.7M,1700000,210.3K,210300,1.8K,1800,764,764
gil_foot2,gil_foot2,1.5M,1500000,1.2M,1200000,210.6K,210600,513,513,3.3K,3300
glbtfilms,❦,76.3K,76300,684.7K,684700,195.6K,195600,2.4K,2400,3.4K,3400
goldens.fourever7,Z&M&B&N&F&C&T,965K,965000,1.2M,1200000,171.5K,171500,1.3K,1300,7K,7000
gordonramsayofficial,Gordon Ramsay,32.8M,32800000,11.2M,11200000,648.3K,648300,5K,5000,1.9K,1900
grbgt9,zu Hause ✌🏾,132.6K,132600,2.2M,2200000,177.6K,177600,1.1K,1100,2K,2000
greenshrimps,olivia,83.3K,83300,1.5M,1500000,334.9K,334900,2.8K,2800,1.3K,1300
gregisms,Gregisms’ Neighborhood,2.4M,2400000,1.1M,1100000,180.6K,180600,6.6K,6600,6.4K,6400
gtcreationslime,Giovanni T. 🇮🇹,4.1M,4100000,3.1M,3100000,183.9K,183900,728,728,946,946
guilhermebatilani,guilhermebatilani,398.7K,398700,2.1M,2100000,323.3K,323300,983,983,2.7K,2700
guiraya,O Milionário,733.2K,733200,2.2M,2200000,197.3K,197300,1.3K,1300,1.3K,1300
gustavomeloof,Gustavo Melo,5M,5000000,1.4M,1400000,113.4K,113400,1.2K,1200,8.8K,8800
gusyterequijas,Gus Quijas,1.8M,1800000,1.6M,1600000,236.9K,236900,777,777,2.7K,2700
gutierrezcastro,Gutierrez Castro,13M,13000000,1.4M,1400000,229.9K,229900,2K,2000,2K,2000
gzfoodqood,Foodqood by Giallozafferano,17.1M,17100000,2.5M,2500000,237.5K,237500,745,745,808,808
haidang_doo,Hai Dang Doo,2.6M,2600000,4.5M,4500000,317.3K,317300,607,607,398,398
haileybieber,Hailey Bieber,9M,9000000,2.4M,2400000,257K,257000,2.5K,2500,805,805
hakobone,jakobone_hh,299.2K,299200,2.9M,2900000,195.8K,195800,1.6K,1600,6.5K,6500
halinhofficial,Ha Linh Official,1.3M,1300000,3.2M,3200000,223.3K,223300,3.2K,3200,1.2K,1200
haqiemstopa,Haqiem_stopa,846.7K,846700,2.1M,2100000,156.4K,156400,2.5K,2500,697,697
haritsuuu,ハリツ🌿極,1.8M,1800000,6.7M,6700000,307.3K,307300,7K,7000,8.8K,8800
harry.shin,harry - hiatus era ☆,904.5K,904500,4.3M,4300000,509.6K,509600,2.4K,2400,833,833
hasanmucci,hasanmucci,2.1M,2100000,2.5M,2500000,196.6K,196600,1.6K,1600,619,619
hat590,HAT Snow,3.6M,3600000,1.5M,1500000,191.3K,191300,2.4K,2400,306,306
hayleygeorgiamorris,Hayley Morris,3.2M,3200000,2.4M,2400000,366.7K,366700,1.4K,1400,9.6K,9600
herranwalt,Herr Anwalt,5.5M,5500000,1.8M,1800000,282K,282000,2.3K,2300,1.6K,1600
hikakin,HIKAKIN ヒカキン公式,1.6M,1600000,4.8M,4800000,454.5K,454500,4.1K,4100,6.3K,6300
hoaa.hanassii,Đào Lê Phương Hoa,12.8M,12800000,6M,6000000,618.5K,618500,3.8K,3800,849,849
hoaminzy_hoadambut,Hoà Minzy,4.2M,4200000,2.8M,2800000,280.2K,280200,789,789,268,268
hoaminzy_hoadambut,Hoà Minzy,4.2M,4200000,2.8M,2800000,280.2K,280200,789,789,268,268
homm9k,ХОМЯК,42.1M,42100000,2.2M,2200000,301.9K,301900,2.3K,2300,569,569
hourialesyeuxverts_off,Houria les yeux verts,143.2K,143200,1M,1000000,102.1K,102100,1.5K,1500,6K,6000
how.kev.eats,how.kev.eats,2.2M,2200000,2.6M,2600000,305.9K,305900,1.4K,1400,401,401
howridiculous,howridiculous,13.6M,13600000,13.9M,13900000,516.3K,516300,889,889,758,758
hstikkytokky,hstikkytokky,808.7K,808700,1.6M,1600000,161.4K,161400,2.5K,2500,1.7K,1700
hunterprosper,Hunter Prosper,4.7M,4700000,2.2M,2200000,384.6K,384600,1.2K,1200,1.9K,1900
i.f.t.fishing,IFTFishing,9.7K,9700,3.8M,3800000,154.5K,154500,2.1K,2100,12K,12000
iamdikeh,Dikeh,2.8M,2800000,1.8M,1800000,174.5K,174500,2.4K,2400,1.3K,1300
iamferv,Fernanda,29.3M,29300000,10M,10000000,1.4M,1400000,10.2K,10200,6.4K,6400
iamkelianne,Kelianne,9.9M,9900000,4.2M,4200000,452.5K,452500,360,360,263,263
iamnotshaneofficial,iamnotshane,225.5K,225500,2.2M,2200000,187.4K,187400,554,554,2.8K,2800
iampauloandre,Paulo André 🏁,1.4M,1400000,4.3M,4300000,854.1K,854100,5.5K,5500,6.4K,6400
iamzario,zario,2M,2000000,1.2M,1200000,244.6K,244600,1.8K,1800,1.5K,1500
iben_ma,Iben M.A.,7M,7000000,5.2M,5200000,379.1K,379100,20.9K,20900,1.1K,1100
ig_alongwiranda,🕌🏃,880.7K,880700,3.2M,3200000,129.4K,129400,1.2K,1200,20K,20000
ikercasillas,Iker Casillas,2.4M,2400000,1.3M,1300000,212.1K,212100,2.4K,2400,3K,3000
ikhmal_azzarin,Ikhmal Azzarin,407.4K,407400,4.4M,4400000,303.7K,303700,4K,4000,3.8K,3800
iloveyourmomscatt,,8.2K,8200,1.3M,1300000,159.3K,159300,4.9K,4900,3.3K,3300
ilusha_help,ilusha_help,4.6M,4600000,2.3M,2300000,75.9K,75900,1.2K,1200,7.9K,7900
ilyasikuba,Ilyasikuba,2.7M,2700000,1.9M,1900000,188.8K,188800,558,558,2.4K,2400
imdimpey,Dimpey,8M,8000000,1.4M,1400000,330K,330000,3.1K,3100,4.7K,4700
imma.tokyo,imma,486.9K,486900,9.9M,9900000,1.2M,1200000,5.7K,5700,3.1K,3100
inachitomer,iNacho Mer,1.3M,1300000,2.9M,2900000,516.2K,516200,1.1K,1100,1K,1000
incorrectlyroce,Roce Ordoñez,6.5M,6500000,3.9M,3900000,650.4K,650400,2K,2000,2.3K,2300
infinite,Infinite,7.3M,7300000,4.8M,4800000,722.3K,722300,6.9K,6900,382,382
infinite,Infinite,7.3M,7300000,4.8M,4800000,722.3K,722300,6.9K,6900,382,382
ingratax,ingrid,14.8M,14800000,3.1M,3100000,617.8K,617800,784,784,420,420
initiaraandini,tiara andini,4.7M,4700000,3.5M,3500000,338.6K,338600,1.3K,1300,1.2K,1200
iqmorteza,مرتضى محمد,873.5K,873500,3.7M,3700000,429.8K,429800,6.5K,6500,2K,2000
isaach.p,Isaac H.P,1.8M,1800000,1.2M,1200000,189.4K,189400,3.2K,3200,2.1K,2100
isaiahgarza,Isaiah Garza,7.5M,7500000,1.6M,1600000,297.3K,297300,1.5K,1500,954,954
isaliagomez_,Salma Isalia Gómez,703.8K,703800,1.6M,1600000,297.3K,297300,863,863,3.7K,3700
its.michhh,Michel Chavez,30.2M,30200000,2.4M,2400000,369.7K,369700,1.9K,1900,193,193
itsjojosiwa,JoJo Siwa,41.8M,41800000,3.5M,3500000,429.2K,429200,2.2K,2200,619,619
itskingchris,KingChristian,16.2M,16200000,1.8M,1800000,355K,355000,3K,3000,1.8K,1800
itslennnie,lennnie,2.3M,2300000,764.7K,764700,120.6K,120600,1.5K,1500,20.4K,20400
itsmenicksmithy,Nick Smithyman 🤓,7.4M,7400000,2.2M,2200000,415.4K,415400,3.4K,3400,2.4K,2400
itsoraida,itsoraida,4.2M,4200000,1.1M,1100000,254.5K,254500,1.7K,1700,2.1K,2100
itsqcp,QCP,10.1M,10100000,1.6M,1600000,297.7K,297700,1.5K,1500,916,916
itssassagurl,Sassa Gurl,6M,6000000,3.9M,3900000,716.4K,716400,3.3K,3300,6.5K,6500
itstalasafwan,تالا صفوان | Tala Safwan🌵👸🏽,4.7M,4700000,2.9M,2900000,177.6K,177600,4.6K,4600,1.4K,1400
itsthescotts,The Scotts,6.2M,6200000,1.5M,1500000,231.7K,231700,517,517,2.2K,2200
itzyofficial,ITZY,8.4M,8400000,1.2M,1200000,332.4K,332400,3.8K,3800,2.3K,2300
ivanmartinez,Ivan KEN🤴🏼,12.4M,12400000,3M,3000000,392.1K,392100,1.3K,1300,489,489
ivanovik.83,ivanovik.1983,172.7K,172700,2.3M,2300000,91.5K,91500,1.1K,1100,11.1K,11100
ive.official,IVE.official,2.2M,2200000,7.7M,7700000,1.5M,1500000,12K,12000,14K,14000
jack_papho69,แจ็ก แปปโฮ,6.7M,6700000,3.3M,3300000,313.1K,313100,2.3K,2300,964,964
jackgrealish,Jack Grealish,3M,3000000,2M,2000000,256K,256000,4.5K,4500,1.7K,1700
jacobday,jacob day,3.7M,3700000,1.2M,1200000,193.1K,193100,3.4K,3400,1.2K,1200
jadepicon,JADE PICON 🌪,8.1M,8100000,2.8M,2800000,342.7K,342700,1.8K,1800,843,843
jaimeonod,Telma,1.5M,1500000,2M,2000000,319.5K,319500,3.2K,3200,1.3K,1300
jakeandrich,Jake Andrich / Jakipz,12M,12000000,2.6M,2600000,241.8K,241800,2.5K,2500,3.3K,3300
jakeandrich,Jake Andrich / Jakipz,12.5M,12500000,1.8M,1800000,184.3K,184300,2K,2000,2.7K,2700
jakemaldonado,Jake Maldonado,6.5M,6500000,1.7M,1700000,324.1K,324100,659,659,2.7K,2700
jakepaul,Jake Paul,16.5M,16500000,3.1M,3100000,354.9K,354900,2.8K,2800,1K,1000
jamescharles,James Charles,36.2M,36200000,3.1M,3100000,344.6K,344600,1.6K,1600,631,631
janeydm,รัชนก สุวรรณเกตุ,14.3M,14300000,2.6M,2600000,305.1K,305100,1.3K,1300,381,381
jaxwritessongs,Jax,9.5M,9500000,2.4M,2400000,346.5K,346500,3.1K,3100,2.2K,2200
jaykindafunny8,Jaykindafunny,23.9M,23900000,5.8M,5800000,426K,426000,3.3K,3300,4.6K,4600
jaynie.dizire,Jaynie🧎🏽‍♀️,19.1K,19100,1.2M,1200000,193.5K,193500,3.2K,3200,2K,2000
jayrscottyy,CHESTA,2.7M,2700000,2.5M,2500000,333.2K,333200,3.4K,3400,1.9K,1900
jdiasss_,João Dias,7.4M,7400000,2.8M,2800000,610.5K,610500,5.6K,5600,4.9K,4900
jdpantoja,JD Pantoja,28.8M,28800000,4.1M,4100000,658.3K,658300,8K,8000,1K,1000
jefripradewa,𝗝𝗘𝗙𝗥𝗜 𝗣𝗥𝗔𝗗𝗘𝗪𝗔,226.2K,226200,1.6M,1600000,178.8K,178800,3K,3000,10.7K,10700
jellybeannotvince,cutejellybean,542.7K,542700,2.7M,2700000,352.2K,352200,2.8K,2800,6.9K,6900
jennifergarner,Jen Garner,2.5M,2500000,2M,2000000,326.4K,326400,1.6K,1600,1K,1000
jessnolimit999,Jess No Limit,6.2M,6200000,17M,17000000,1.7M,1700000,24.2K,24200,11.5K,11500
jesusortizpaz,Jesusortizpaz,1.7M,1700000,1.8M,1800000,207.5K,207500,1.2K,1200,832,832
jezzzini,jezzini,1.7M,1700000,1.4M,1400000,419K,419000,1.6K,1600,6.2K,6200
jhothsa,jhothsa,13.3M,13300000,1.1M,1100000,189.8K,189800,960,960,2.6K,2600
jimena.jimenezr,Jimena,23.5M,23500000,3.7M,3700000,577.5K,577500,962,962,2K,2000
jimmydarts,Jimmy Darts,8.6M,8600000,2.2M,2200000,360.3K,360300,3.5K,3500,492,492
jjeverettrose,Jake Joseph Everett-Rose,3.2M,3200000,2.2M,2200000,345.8K,345800,775,775,575,575
jmartineze_,josi,22.2M,22200000,2.4M,2400000,377.7K,377700,1.8K,1800,2.5K,2500
joaoferdnan,João Ferdnan,7.7M,7700000,919.7K,919700,143.3K,143300,2.5K,2500,4K,4000
joe.bartolozzi,Joe Bartolozzi,18.8M,18800000,1.9M,1900000,338.8K,338800,2.3K,2300,552,552
joelsvnny,Joel Sunny,1.1M,1100000,897.8K,897800,203.8K,203800,2.7K,2700,1.7K,1700
joerauth_,Joe rauth,5.4M,5400000,1.9M,1900000,319.4K,319400,1.2K,1200,1.9K,1900
joesantagato,Joe Santagato,1.5M,1500000,1.5M,1500000,175.5K,175500,2.4K,2400,2.5K,2500
joeyvalence,Joey Valence,717.8K,717800,2.8M,2800000,559.6K,559600,1.1K,1100,705,705
johnnyy.ed,johnnyy.ed,1.7M,1700000,1.2M,1200000,173.1K,173100,1.2K,1200,3.3K,3300
jonata_26,Jonata🤩,5.1M,5100000,2.5M,2500000,415.5K,415500,1.1K,1100,1.5K,1500
jonata_26,Jonata🤩,5.2M,5200000,2.3M,2300000,377.9K,377900,999,999,1.3K,1300
joshanglooo,josh anglo,670.9K,670900,1M,1000000,315.1K,315100,1.6K,1600,1.9K,1900
joshrichards,Josh Richards,25.6M,25600000,2.9M,2900000,275.5K,275500,1.3K,1300,682,682
joslum,José L,12.1M,12100000,2.5M,2500000,327.3K,327300,1.9K,1900,403,403
jounggustav,Joung Gustav,3.4M,3400000,9.6M,9600000,1.3M,1300000,4.7K,4700,6.7K,6700
juanchimy,Juan Lopez,3.1M,3100000,2.1M,2100000,485K,485000,2.4K,2400,2.1K,2100
jubiandxian,jubiandxian,4.7M,4700000,3.3M,3300000,557.8K,557800,3K,3000,2.6K,2600
julesleblanc,jules,18.7M,18700000,1.9M,1900000,455.7K,455700,1.6K,1600,554,554
juliaaliceaa,jujuuu,3.7K,3700,2.2M,2200000,550.3K,550300,3.1K,3100,14.3K,14300
juliagisella,Julia Gisella,11.5M,11500000,2.6M,2600000,381.3K,381300,7.4K,7400,6.9K,6900
junya1gou,Junya/じゅんや,42.7M,42700000,3.9M,3900000,174.4K,174400,2.1K,2100,2.3K,2300
just_dt,Dt,8.9M,8900000,1.4M,1400000,221K,221000,3.2K,3200,2.8K,2800
just.hamilton,Just Hamilton,2.6M,2600000,1M,1000000,185.5K,185500,1.1K,1100,3.4K,3400
just.hamilton,Just Hamilton,2.6M,2600000,1M,1000000,185.5K,185500,1.1K,1100,3.4K,3400
justthenobodys,JustTheNobodys,7.9M,7900000,2.9M,2900000,293.8K,293800,1.5K,1500,1.2K,1200
jwaltonnn,ᴊ⚡️,733.4K,733400,1.6M,1600000,350.9K,350900,27K,27000,2.5K,2500
k0uvr,Kouvr,13.6M,13600000,2.3M,2300000,404.2K,404200,854,854,321,321
kaan.etm,Kaan,3.1M,3100000,1.5M,1500000,322.5K,322500,2.1K,2100,862,862
kaelimaee,kaeli mae,9M,9000000,1.9M,1900000,293.6K,293600,682,682,864,864
kallmekris,Kris HC,44.5M,44500000,4.1M,4100000,784.3K,784300,5.3K,5300,2.1K,2100
kamuimi,anto🦋,306.2K,306200,2.1M,2100000,411.3K,411300,2.2K,2200,522,522
karmalust.ff,karmalust ff,204.6K,204600,962.9K,962900,40.6K,40600,36.1K,36100,745,745
kartiniinspiringwoman,kartini.skm,359.9K,359900,970.1K,970100,80.8K,80800,2.4K,2400,11.6K,11600
katclark86,Kat Clark,1.9M,1900000,2.7M,2700000,381.9K,381900,1.1K,1100,211,211
kaylamalecc,kayla,7.9M,7900000,3.3M,3300000,462.6K,462600,3.9K,3900,255,255
keirariff,Keira,4.2M,4200000,3.3M,3300000,545.2K,545200,1.8K,1800,2.5K,2500
keniaos,KeniaOs,14.6M,14600000,1.6M,1600000,280.7K,280700,4.8K,4800,822,822
kenti.best.boi,kenti 🎨,1.2M,1200000,1M,1000000,167.9K,167900,1.9K,1900,3.4K,3400
kervo.dolo,Kervo.dolo,9.7M,9700000,5.6M,5600000,1.2M,1200000,7K,7000,14.9K,14900
keysilva990,Zukey Silva 🧿❤️,29.2K,29200,2.3M,2300000,134.3K,134300,1.5K,1500,1.3K,1300
kfc_es,KFC España,2.8M,2800000,1.2M,1200000,171.7K,171700,3K,3000,1.5K,1500
khaby.lame,Khabane lame,143.2M,143200000,25.3M,25300000,2.9M,2900000,23.5K,23500,16.3K,16300
khalidandsalama,❣️Khalid & Salama❣️,4.6M,4600000,2.1M,2100000,204.8K,204800,2.3K,2300,2.3K,2300
khoailangthang,Khoai Lang Thang,731.7K,731700,3.9M,3900000,258.8K,258800,2K,2000,1.3K,1300
kieuduylong16,Kiều Duy Long 🐉,1.9M,1900000,2.6M,2600000,311.5K,311500,1.8K,1800,335,335
kikakiim,Kika Kim,30.9M,30900000,2.8M,2800000,307.5K,307500,1.4K,1400,698,698
kimandnorth,Kim and North,6.8M,6800000,3.6M,3600000,684K,684000,0,0,3.7K,3700
kimberly.loaiza,Kimberly Loaiza,64.2M,64200000,6.3M,6300000,1M,1000000,11.5K,11500,2.6K,2600
kinemachuu,流れ星☆ちゅうえい,215.6K,215600,2.6M,2600000,205.2K,205200,1.1K,1100,10.5K,10500
