S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
54,spencer_serafica,Xspencer,13.6M,13600000,5.2M,5200000,924.3K,924300,5.9K,5900,4K,4000
55,musikyotogsj,うさっくま♡Movie,1.2M,1200000,4.3M,4300000,192K,192000,1.8K,1800,55.9K,55900
56,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,2.9M,2900000,5.4M,5400000,548.2K,548200,7.8K,7800,7.7K,7700
57,soyminisech,🐻🐻SECHITO🐻🐻,1.2M,1200000,6.5M,6500000,603.4K,603400,2K,2000,9.5K,9500
58,katya.ross,Katya Ross,293.3K,293300,2.8M,2800000,665.3K,665300,5.7K,5700,18.1K,18100
59,vinnyguadagnino,vinnyguadagnino,3.1M,3100000,5.1M,5100000,629.3K,629300,5.9K,5900,7.2K,7200
60,lelepons,Lele Pons,27.9M,27900000,12.2M,12200000,1M,1000000,1.5K,1500,1.7K,1700
61,mattsturniolo,Matt,3.2M,3200000,3.2M,3200000,812K,812000,10.9K,10900,4.6K,4600
62,rayssabuq,Rayssa Buq,7.2M,7200000,4.3M,4300000,775.3K,775300,7.9K,7900,4.1K,4100
63,charl1d4meli0,charlidamelio,64.6K,64600,5.4M,5400000,804K,804000,6.9K,6900,1.7K,1700
64,pkllipe,Pk,19M,19000000,4.8M,4800000,893.3K,893300,3K,3000,5.6K,5600
65,selenagomez,Selena Gomez,43.2M,43200000,5.2M,5200000,804.9K,804900,4.2K,4200,4.5K,4500
66,_.the.meme.hub._,RANDOM MEMES,2.3M,2300000,3.8M,3800000,787.7K,787700,2.9K,2900,9K,9000
67,lexibrookerivera,Lexi Rivera,23.4M,23400000,7.6M,7600000,870.6K,870600,3.1K,3100,1.8K,1800
68,bhadbhabie,bhadbhabie,6.3M,6300000,5.1M,5100000,899.5K,899500,3K,3000,4K,4000
69,acpitos,acpitos on ig 📸,489.6K,489600,5.7M,5700000,858.8K,858800,3.5K,3500,3.1K,3100
70,sofiacarson,SofiaCarson,6.2M,6200000,5.7M,5700000,903.5K,903500,3.2K,3200,2.9K,2900
71,youngswagonoriginal,YoungSwagon,4.9M,4900000,5.1M,5100000,752.5K,752500,1.4K,1400,6.7K,6700
72,montpantoja,Montpantoja,35.7M,35700000,6.8M,6800000,1M,1000000,2.5K,2500,1.9K,1900
73,azzyland,Azzyland,4.6M,4600000,5.3M,5300000,774.2K,774200,7K,7000,462,462
74,soysuco,soysuco,12.5M,12500000,5.4M,5400000,570.5K,570500,8.7K,8700,1.1K,1100
75,bellapoarch,Bella Poarch,91.4M,91400000,7.4M,7400000,677.3K,677300,4.9K,4900,1.1K,1100
76,max7424453118,Max Taylor,2.8M,2800000,3.5M,3500000,572.6K,572600,5.2K,5200,9.5K,9500
77,jordanemel,Jordan e Mel,10.2M,10200000,4.4M,4400000,436.1K,436100,3K,3000,12.2K,12200
78,hannahstocking,Hannah Stocking,26.5M,26500000,7.8M,7800000,840.8K,840800,1.6K,1600,2.5K,2500
79,_xochitl.gomez,Xóchitl Gómez,7.3M,7300000,7M,7000000,1.3M,1300000,26,26,2.9K,2900
80,rubentuestaok,Ruben Tuesta,21.3M,21300000,5.5M,5500000,802.3K,802300,1.6K,1600,4.4K,4400
81,charrliiieeee,Charlieee,5.1M,5100000,12M,12000000,470.2K,470200,1.7K,1700,2.9K,2900
82,kallmekris,Kris HC,46.3M,46300000,5.4M,5400000,936.6K,936600,3.4K,3400,1.5K,1500
83,dereklipp_,Derek Lipp,5.3M,5300000,3.1M,3100000,440.5K,440500,2.5K,2500,15.7K,15700
84,jaxwritessongs,Jax,11.7M,11700000,4.1M,4100000,683.5K,683500,5.4K,5400,3.2K,3200
85,calfreezy,Calfreezy,960.6K,960600,6.5M,6500000,869.1K,869100,1.7K,1700,2.4K,2400
86,loveofhuns,loveofhuns x,144.7K,144700,3.5M,3500000,382.4K,382400,8.3K,8300,8.9K,8900
87,lizzza,Liza Koshy,29.9M,29900000,4.9M,4900000,802.8K,802800,2.2K,2200,3.6K,3600
88,victormelo,Victor Melo,21.9M,21900000,4.5M,4500000,736.7K,736700,2.5K,2500,4.2K,4200
89,wisdm8,Wisdom Kaye,8.5M,8500000,4.6M,4600000,874.4K,874400,3.5K,3500,2K,2000
90,qpark,Q Park,33.6M,33600000,5M,5000000,415.3K,415300,3.9K,3900,6.6K,6600
91,_lilg4,LIL G,1.7M,1700000,4.4M,4400000,521.9K,521900,5.5K,5500,4K,4000
92,dylanmulvaney,Dylan Mulvaney,7.3M,7300000,3.8M,3800000,730.8K,730800,6.6K,6600,1.2K,1200
93,hafizmahamad,Hafiz Mahamad,1.1M,1100000,3M,3000000,325.1K,325100,14.4K,14400,7.5K,7500
94,oficialmarcuseni,marcus_eni,4.5M,4500000,2.2M,2200000,198.6K,198600,1.3K,1300,46K,46000
95,hola.margo,margo✨,4.1M,4100000,6.7M,6700000,868.1K,868100,2.4K,2400,1.2K,1200
96,dhar.mann,Dhar Mann,14.3M,14300000,4.2M,4200000,528.1K,528100,6.9K,6900,2.4K,2400
97,mementoe,Máté Méhész,3.6M,3600000,3.4M,3400000,588.5K,588500,4.4K,4400,5.8K,5800
98,kaelimaee,kaeli mae,10.6M,10600000,5.5M,5500000,733.8K,733800,1.5K,1500,3.5K,3500
99,paralympics,paralympics,2.5M,2500000,5.4M,5400000,467.8K,467800,1.8K,1800,6.3K,6300
100,ynchq,Янчик,6.4M,6400000,4.9M,4900000,660.1K,660100,2.7K,2700,3.5K,3500
101,connordewolfe,Connor DeWolfe,5.4M,5400000,3M,3000000,628.4K,628400,1.6K,1600,9K,9000
102,awildani13,NgebisOnline,77.2K,77200,3.7M,3700000,498.4K,498400,5.9K,5900,4.4K,4400
103,paansih16,gustian_magrib,1.1M,1100000,2.9M,2900000,230.5K,230500,1.2K,1200,27.7K,27700
104,otoha_danso,音羽-otoha-,1.5M,1500000,3.4M,3400000,268K,268000,9.5K,9500,11.2K,11200
105,ivanlomelitv,Iván Lomeli Travel Blogger,44K,44000,2.4M,2400000,188.1K,188100,1.2K,1200,39.6K,39600
106,davidguetta,David Guetta,4.5M,4500000,4.4M,4400000,419.9K,419900,4.1K,4100,5.9K,5900
107,quynh.aka,Quỳnh Aka ✅,1.9M,1900000,4.7M,4700000,333.2K,333200,4.4K,4400,7.3K,7300
108,gianlucavacchi,Gianluca Vacchi,21.5M,21500000,7.7M,7700000,477.1K,477100,2K,2000,2.8K,2800
109,ashhasacamera,ash,871.7K,871700,3.4M,3400000,854.7K,854700,4.1K,4100,2K,2000
110,abdelrhman_boda1,💎☝️ عہبدالہرحہمن_احہمد☝️💎,2.8M,2800000,8.1M,8100000,337.4K,337400,1.3K,1300,5.1K,5100
111,garett__nolan,garett nolan,13.4M,13400000,4.2M,4200000,337.1K,337100,2.4K,2400,10K,10000
112,sturniolo.triplets,Sturniolo’s,4M,4000000,2.8M,2800000,654.2K,654200,7.6K,7600,2K,2000
113,juliano,juliano,9.9M,9900000,6.8M,6800000,625.2K,625200,3K,3000,1K,1000
114,jwaltonnn,ᴊ⚡️,733.4K,733400,1.6M,1600000,350.9K,350900,27K,27000,2.5K,2500
115,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2.1M,2100000,2.7M,2700000,444.7K,444700,5.2K,5200,8.5K,8500
116,litkillah,LIT killah🩸,2.4M,2400000,3.2M,3200000,428.3K,428300,1.3K,1300,10.6K,10600
117,stickyboy69,stickyboy69,8.9M,8900000,1.9M,1900000,478.8K,478800,14.6K,14600,3.8K,3800
118,shxtsngigs,ShxtsNGigs Podcast,4.9M,4900000,3.6M,3600000,603.1K,603100,1.9K,1900,5.6K,5600
119,faeleamendoim,Fael Alegria e Isaac Amendoim,3.6M,3600000,5.5M,5500000,321.6K,321600,1.3K,1300,7.9K,7900
120,thallyssonsb,Thallysson Borges,10.7M,10700000,3M,3000000,450.1K,450100,3.8K,3800,8.1K,8100
121,saramohannad_,Sara,7.9M,7900000,4.5M,4500000,364.9K,364900,6.3K,6300,3.1K,3100
122,miakhalifa,Mia K.,35.7M,35700000,5.4M,5400000,610.3K,610300,2.5K,2500,2.2K,2200
123,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3.8M,3800000,3M,3000000,298.1K,298100,7K,7000,9.9K,9900
124,sofyank96,Sofyank96,2.6M,2600000,4.5M,4500000,565.1K,565100,2.5K,2500,3.4K,3400
125,kooovryt,kika,2.5M,2500000,2.9M,2900000,516.2K,516200,4K,4000,6K,6000
126,leesiyoung38,이시영,17.4M,17400000,3.5M,3500000,658.8K,658800,3.8K,3800,2.8K,2800
127,jdpantoja,JD Pantoja,30.5M,30500000,4.6M,4600000,751.9K,751900,3.5K,3500,799,799
128,billlnai,nai,8.7M,8700000,3.4M,3400000,934.2K,934200,2.6K,2600,1.9K,1900
129,itssassagurl,Sassa Gurl,6.6M,6600000,3.5M,3500000,565.3K,565300,3.1K,3100,4.1K,4100
130,bargain.bethany,bargainbethany,124.8K,124800,2.2M,2200000,208.7K,208700,1.8K,1800,28.3K,28300
131,terryreloaded,Terry Reloaded,6.5M,6500000,2.3M,2300000,508.7K,508700,2.7K,2700,8.7K,8700
132,gordonramsayofficial,Gordon Ramsay,33.8M,33800000,6.4M,6400000,488.1K,488100,2.2K,2200,2.1K,2100
133,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3.4M,3400000,3.1M,3100000,756.8K,756800,3.9K,3900,1.8K,1800
134,rah_money1,General ock,3.4M,3400000,3.2M,3200000,426.3K,426300,3.1K,3100,6.3K,6300
135,aymanehamedi,Weld Mimoune,1.1M,1100000,3.4M,3400000,298.5K,298500,2.8K,2800,9.8K,9800
136,luvadepedreiro,Iran Ferreira (Lai),19.4M,19400000,4.2M,4200000,571.7K,571700,3.7K,3700,1.7K,1700
137,brookemonk_,Brooke Monk,23.6M,23600000,5.9M,5900000,678.9K,678900,1.9K,1900,1.4K,1400
138,parnishacook,Пардаев Алибек,615.7K,615700,3.2M,3200000,183.7K,183700,352,352,21.3K,21300
139,yzn47,عزيز | يزن,7M,7000000,7M,7000000,249.2K,249200,1.2K,1200,6.1K,6100
140,pimrypie__tiktok,Pimrypie,3.3M,3300000,7.7M,7700000,466.3K,466300,2.3K,2300,1.2K,1200
141,alanthedude,Alan,681.8K,681800,3.7M,3700000,636K,636000,3.5K,3500,1.8K,1800
142,daviddobrik,DAVID DOBRIK,26.2M,26200000,4.4M,4400000,440.6K,440600,1.7K,1700,4.6K,4600
143,montanablack,GetOnMyLvL,2.5M,2500000,3.4M,3400000,447.5K,447500,3.5K,3500,4.4K,4400
144,vhackerr,Vinnie,14.9M,14900000,3.3M,3300000,487.1K,487100,4.6K,4600,2.7K,2700
145,cellat36,cellat36,8.6M,8600000,5.4M,5400000,307.5K,307500,5.2K,5200,1.9K,1900
146,thebenjishow,benji,5.9M,5900000,3.3M,3300000,643.8K,643800,2.2K,2200,3.2K,3200
