Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
58,yvesbissonsturgeonco,yves,1.2M,8.2M,8200000,320K,320000,3K,3000,11.8K,11800
59,mewsuppasit21,mewsuppasit,1.5M,4.2M,4200000,864.8K,864800,6.8K,6800,3.2K,3200
60,therock,The Rock,64.3M,3.6M,3600000,626K,626000,8K,8000,7.8K,7800
61,elina_karimovaa,🐚Elina_리나대장님🤍,12.7M,7.2M,7200000,783.6K,783600,3.1K,3100,3.2K,3200
62,bigchungus.tik,BigChungus,9.2M,10.3M,10300000,909.6K,909600,2.5K,2500,1.3K,1300
63,domelipa,domelipa,62M,5.8M,5800000,779.9K,779900,5.3K,5300,2.5K,2500
64,mikaylahau,Mikaylah,5.8M,6.1M,6100000,415.6K,415600,10.3K,10300,3.3K,3300
65,mrnigelng,Nigel Ng (Uncle Roger),7.3M,4.6M,4600000,676.6K,676600,3.1K,3100,6.8K,6800
66,jakefresca,Fresca Fresh,387.5K,3M,3000000,560.7K,560700,3.8K,3800,14.2K,14200
67,bellaamtz,Bella,1M,5.5M,5500000,813.5K,813500,3K,3000,3.4K,3400
68,guiedits_,guieditss,149.6K,3M,3000000,653.9K,653900,3.2K,3200,11.4K,11400
69,niallhoran,Niall Horan,4.8M,2.2M,2200000,701K,701000,9.2K,9200,9.3K,9300
70,shellyclouds,Shelly Clouds,1.5M,11.1M,11100000,695.5K,695500,506,506,3.1K,3100
71,jayandsharon,Jay & Sharon,2.4M,4.2M,4200000,488.6K,488600,2.1K,2100,11.4K,11400
72,kane,kane,3.2M,4.6M,4600000,685.4K,685400,2K,2000,6.3K,6300
73,future_millionaires,Future Millionaires,754.8K,5.7M,5700000,790.2K,790200,4.1K,4100,1.7K,1700
74,kyliejenner,Kylie Jenner,50.4M,7.5M,7500000,793.1K,793100,2.8K,2800,1.6K,1600
75,rubentuestaok,Ruben Tuesta,25.4M,5.7M,5700000,648.5K,648500,1.9K,1900,5.1K,5100
76,ferxxo444,Feid,5.5M,3.6M,3600000,715.7K,715700,2.9K,2900,6.6K,6600
77,onwardwanna,Wanna🥊,8.4M,4.7M,4700000,827.1K,827100,4.8K,4800,1.4K,1400
78,montpantoja,Montpantoja,36.9M,7M,7000000,1.2M,1200000,2K,2000,1K,1000
79,nekoglai,Николай,10M,4.7M,4700000,440.5K,440500,9.3K,9300,2.4K,2400
80,esnyrrr,Esnyr,6M,5.1M,5100000,813.8K,813800,2K,2000,3.7K,3700
81,skythedogtrainer,skythedogtrainer,31.4K,14M,14000000,1.2M,1200000,678,678,705,705
82,mclomaofficiall,mclomaofficial,6M,6.7M,6700000,1M,1000000,2.2K,2200,1.2K,1200
83,lechilinh88,Lê Chí Linh,4.1M,7.5M,7500000,513.3K,513300,4.4K,4400,1.3K,1300
84,pongamoslo_a_prueba,Pongámoslo a Prueba,38.2M,7.5M,7500000,898.8K,898800,1.8K,1800,1.6K,1600
85,nianaguerrero,Niana Guerrero,35.1M,7.9M,7900000,725.8K,725800,2.1K,2100,1.8K,1800
86,druskitv,DRUSKI,3.8M,2.8M,2800000,533.6K,533600,4K,4000,10.4K,10400
87,jaykindafunny8,Jaykindafunny,25M,8.4M,8400000,582.8K,582800,2.1K,2100,2.2K,2200
88,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2.7M,4M,4000000,386.7K,386700,7.4K,7400,5.9K,5900
89,andrewlepage23,Andrew Le Page,209K,4.4M,4400000,390.3K,390300,3.6K,3600,7.8K,7800
90,pandkourt,Kourtney-Penelope,5M,10.1M,10100000,846K,846000,0,0,2.3K,2300
91,pinkpantheress,😘🙈☺️,1.7M,3.4M,3400000,732.4K,732400,5.8K,5800,1.7K,1700
92,bellapoarch,Bella Poarch,92.6M,6M,6000000,482.2K,482200,4.8K,4800,1.5K,1500
93,thethinktok,The Think Tok,782.4K,2.8M,2800000,284.6K,284600,5.1K,5100,18.2K,18200
94,livvy,Olivia Dunne,6.5M,4.9M,4900000,550.8K,550800,4.6K,4600,2.1K,2100
95,falcopunch,Falco,13.2M,3.7M,3700000,522.6K,522600,4.8K,4800,4.4K,4400
96,vibin.wit.tay,Tay,5.4M,2.5M,2500000,486.4K,486400,3.2K,3200,11.4K,11400
97,swagboygorringe,Daniel Gorringe,7M,3.1M,3100000,347.2K,347200,6K,6000,10.5K,10500
98,sadiafza,Sadia,2.7M,5.3M,5300000,749K,749000,2.2K,2200,2.1K,2100
99,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,3.2M,3.8M,3800000,466.8K,466800,4.3K,4300,5.2K,5200
100,zachking,Zach King,72.1M,11.5M,11500000,466.4K,466400,1.6K,1600,1.5K,1500
101,docdami,Doc Dami,4.1M,4.7M,4700000,759.1K,759100,2.2K,2200,2.3K,2300
102,mdmotivator,Zachery Dereniowski,11.3M,4.9M,4900000,834.2K,834200,2.7K,2700,1.2K,1200
103,cool__bad,Kuan - Aisha 🔎,2.8M,9.4M,9400000,565.4K,565400,1.7K,1700,1.2K,1200
104,kallmekris,Kris HC,47.6M,3.6M,3600000,715.5K,715500,3.8K,3800,2.1K,2100
105,angelaaguilar_,Angela Aguilar :),10.7M,5.4M,5400000,469.8K,469800,2.3K,2300,3.6K,3600
106,joshtgodfrey,Josh Godfrey,1.1M,3.7M,3700000,464.6K,464600,3.9K,3900,4.7K,4700
107,kieram.litchfield,Kieram Litchfield,2.3M,5.9M,5900000,708.8K,708800,2.2K,2200,1.2K,1200
