Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
245,siscakohl,Sisca Kohl,13M,4.4M,4400000,369.1K,369100,1.9K,1900,716,716
246,santiperezvivas,Santi Perez,3.5M,2.5M,2500000,450.9K,450900,1.4K,1400,2.5K,2500
247,jessnolimit999,Jess No Limit,6.9M,4.1M,4100000,379.5K,379500,2.2K,2200,536,536
248,b.blek,b.blek,3.3M,3.1M,3100000,244.6K,244600,2.2K,2200,3.5K,3500
249,jacksepticeye,Jacksepticeye,5M,2.3M,2300000,476K,476000,2.7K,2700,1.1K,1100
250,saramohannad_,Sara,9M,3.6M,3600000,220.7K,220700,3.7K,3700,1.6K,1600
251,andrewrousso,Andrew Rousso,2.8M,1.1M,1100000,245.8K,245800,2K,2000,13.4K,13400
252,murphslife,Aaron Murphy,6M,1.9M,1900000,250K,250000,4.7K,4700,3.9K,3900
253,haileesteinfeld,Hailee Steinfeld,3.6M,1.6M,1600000,273.9K,273900,7K,7000,2.2K,2200
254,abir.sag,Abir el saghir,18.9M,3.2M,3200000,236K,236000,4.2K,4200,1.1K,1100
255,paytonking,Payton King,5.3M,1.7M,1700000,388.2K,388200,2.7K,2700,3.4K,3400
256,winniedom,Winnie Dominguez 🌻,499.7K,1.8M,1800000,305.5K,305500,2K,2000,5.2K,5200
257,lukas.urkijo,Lukas urkijo,2M,2M,2000000,422K,422000,3.4K,3400,1.3K,1300
258,nia.ramadhani.bakrie,Nia Ramadhani Bakrie,2.1M,4.1M,4100000,337.1K,337100,1.6K,1600,1.2K,1200
259,fredziownik_art,Franek Bielak,12.9M,6.7M,6700000,300.2K,300200,1.6K,1600,340,340
260,fedez,fedez,5.9M,2.6M,2600000,381K,381000,1.5K,1500,2.6K,2600
261,ser_jay,Hello It’s me SerJay,5.6M,2M,2000000,303.1K,303100,2.1K,2100,4.3K,4300
262,ketnipz,Ketnipz,5.3M,1.7M,1700000,274.1K,274100,558,558,7.7K,7700
263,cookingwithlynja,Lynja,14.5M,1.9M,1900000,193.5K,193500,10K,10000,429,429
264,katiavlogss,KATIAVLOGS🐒,15.1M,4.8M,4800000,552.9K,552900,571,571,872,872
265,cbum,Chris Bumstead,3.8M,3M,3000000,231.5K,231500,983,983,4.4K,4400
266,recider,Recider,2.2M,2.1M,2100000,546.4K,546400,1.1K,1100,2.2K,2200
267,moosenyc2,moose,1M,3M,3000000,388.1K,388100,1.2K,1200,2K,2000
268,linatejeiro8,Lina Tejeiro,4.6M,3.7M,3700000,311.7K,311700,1.8K,1800,1.4K,1400
269,jakehunterofficial,Jake hunter,3.7M,3.4M,3400000,270.3K,270300,2K,2000,2K,2000
270,dylan.page,Dylan Page,4.9M,1.9M,1900000,278K,278000,4.2K,4200,2.7K,2700
271,nurse.johnn,nurse.johnn,3.3M,1.6M,1600000,226.7K,226700,1.2K,1200,8.8K,8800
272,lilnasx,lil nas x,29.1M,2.6M,2600000,371.1K,371100,2.2K,2200,1.5K,1500
273,catherineealicia,catheez,2M,3.2M,3200000,362.1K,362100,1.8K,1800,1.3K,1300
274,aleatoriamente7777,Gabriel Aleatoriamente,2M,1.5M,1500000,353.6K,353600,5.1K,5100,1.6K,1600
275,isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,2M,1M,1000000,225.5K,225500,6.4K,6400,9.4K,9400
276,aydas,Aydas,14.9M,4.5M,4500000,326.4K,326400,1.8K,1800,558,558
277,anokhinalz,Аnokhina Liza,39M,4.1M,4100000,406.6K,406600,1.8K,1800,294,294
278,bryan_skabeche,Bryan SKabeche,7.2M,4.9M,4900000,485.5K,485500,987,987,486,486
279,wuesilva,Wue Silva,14.3M,3M,3000000,305.4K,305400,1.4K,1400,2.5K,2500
280,daviddobrik,DAVID DOBRIK,26.4M,3M,3000000,423.7K,423700,884,884,1.9K,1900
281,victtoriamedeiros,Victtória Medeiros,8.7M,2.8M,2800000,337.1K,337100,1.2K,1200,2.5K,2500
282,datvilla94,🔥Đạt Villa🔥,7.3M,1.7M,1700000,200.7K,200700,6.6K,6600,3.8K,3800
283,cody.taurus,Cody Taurus,740.6K,1.3M,1300000,155.5K,155500,1.4K,1400,15.3K,15300
284,anwar,Anwar Jibawi,13.1M,2.3M,2300000,310.7K,310700,2.4K,2400,2.3K,2300
285,marlene2995,Marlenebenitez,12M,4M,4000000,305.7K,305700,1.4K,1400,1.4K,1400
286,jkartsoccer_tiktok,JKartsoccer,1.5M,5.8M,5800000,288.9K,288900,813,813,1.2K,1200
287,bellacampox,Bella Campos,786.4K,2.5M,2500000,372.4K,372400,2.3K,2300,1.4K,1400
288,lionfieldmusic,lionfield,5.9M,2.6M,2600000,294.9K,294900,2.9K,2900,1.6K,1600
289,andrefernm,André Fernandes,387.3K,888.5K,888500,111.9K,111900,5.7K,5700,28.3K,28300
290,mandrake1984real,Giuseppe Mandrake Ninno,1.6M,2.1M,2100000,250.4K,250400,1.1K,1100,5.2K,5200
291,elena_oki,Elena,1.3M,2M,2000000,352.2K,352200,1.5K,1500,3.2K,3200
292,prokhozhy,Виктор Пак,1.4M,1.8M,1800000,161K,161000,1.7K,1700,9.4K,9400
293,tangmokoko,แตงโม โกโก้ปั่น,1.1M,3.2M,3200000,445.7K,445700,707,707,1.6K,1600
294,haileybieber,Hailey Bieber,10.5M,3.3M,3300000,398.5K,398500,1.5K,1500,972,972
295,mackenzieziegler,Mackenzie Ziegler,22.4M,4.4M,4400000,694.3K,694300,700,700,369,369
296,canalzezao,Zezão,7.7M,2M,2000000,166.5K,166500,2.2K,2200,7.7K,7700
297,francoescamillaofficial,Franco Escamilla,18.3M,3.1M,3100000,372.2K,372200,498,498,2.3K,2300
298,agnesmelo_oficial,Agnes Melo,6M,3.7M,3700000,410.9K,410900,1.1K,1100,1K,1000
299,shenacinnamon,Shenina Cinnamon,598K,6.4M,6400000,478.2K,478200,542,542,499,499
300,inpersa16,Indah permatasari,2.3M,3.9M,3900000,295K,295000,1.6K,1600,1.1K,1100
301,smtown_official,SMTOWN,2.8M,1.8M,1800000,379.6K,379600,2.9K,2900,1.8K,1800
302,ive.official,IVE.official,3.6M,1.8M,1800000,334.3K,334300,4K,4000,1.3K,1300
303,jostyle_17,Jostyle17,1.6M,2.4M,2400000,290.4K,290400,1.1K,1100,3.5K,3500
304,unnecessaryinventions,Unnecessary Inventions,6M,3.1M,3100000,303.1K,303100,2.5K,2500,876,876
305,felipenpv,Felipe Paiva,5M,2M,2000000,361K,361000,2.5K,2500,1.8K,1800
306,itskingchris,KingChristian,18.3M,2.1M,2100000,386.3K,386300,2.6K,2600,1.3K,1300
307,jackjos3ph,Jack Joseph,3.4M,1.7M,1700000,258.6K,258600,3.1K,3100,3.9K,3900
308,leleburnier,LELÊ BURNIER,2.7M,1.8M,1800000,424.3K,424300,3.3K,3300,777,777
309,theacefamily,Theacefamily,6.5M,4.1M,4100000,521K,521000,0,0,1.4K,1400
310,vilmeijuga,VILMEI✨,21.4M,3.3M,3300000,267.5K,267500,2.1K,2100,1.4K,1400
311,divabry,⚜️DIVABRY⚜️,4.3M,2.9M,2900000,369.9K,369900,1.5K,1500,1.3K,1300
312,jeffwittek,jeff,2M,3.9M,3900000,496.8K,496800,526,526,1K,1000
313,oli_natu,Oli Natu,11.2M,2.8M,2800000,361.8K,361800,1.5K,1500,1.5K,1500
314,erictro,Eric Tro,4.9M,3.6M,3600000,397.5K,397500,560,560,1.5K,1500
315,mozzacella.cheez,Mozzarella Cheese,69K,2.1M,2100000,281.4K,281400,4K,4000,1.1K,1100
316,jubiandxian,jubiandxian,6.4M,2.8M,2800000,486.9K,486900,1.1K,1100,1.1K,1100
317,shamichef21,Shamichef,2.6M,3.7M,3700000,113.6K,113600,2K,2000,5.1K,5100
318,arigameplays,AriGameplays,23.6M,2.9M,2900000,415.8K,415800,1.6K,1600,897,897
319,dudamaryah,dudamaryah,6.8M,2.4M,2400000,435.5K,435500,1.5K,1500,1.3K,1300
320,camilo,Camilo,29.6M,4.1M,4100000,417.9K,417900,1.2K,1200,520,520
321,shakira,Shakira,27.3M,3.1M,3100000,305.8K,305800,2.3K,2300,747,747
322,axelwebber,Axel,4.4M,2.8M,2800000,384K,384000,1.7K,1700,1.1K,1100
323,katelynrosebrown,KatelynBrown,1.9M,3.3M,3300000,375.7K,375700,1.4K,1400,1K,1000
324,kaansanity,aakaanksh,5M,3.3M,3300000,159.9K,159900,1.5K,1500,4K,4000
325,andresgjohnson,Andres Johnson256,4.7M,1.9M,1900000,237.6K,237600,1.1K,1100,5.5K,5500
326,zhcyt,ZHC,15.4M,3.3M,3300000,466K,466000,1.5K,1500,410,410
327,cedriklorenzen,Cedrik Lorenzen,3.2M,1.3M,1300000,180K,180000,3.6K,3600,8.4K,8400
328,emiliamernes,EMILIA,5M,3.9M,3900000,403.3K,403300,869,869,920,920
329,tooturnttony,Tooturnttony,18.8M,2.9M,2900000,340.9K,340900,2.3K,2300,513,513
330,moisesturcioss,Moises TurciosⓂ️,1.2M,1.9M,1900000,115.9K,115900,1.7K,1700,10.8K,10800
331,marcel.ruiz,Marcel Ruiz,303.1K,1.5M,1500000,374.5K,374500,3.3K,3300,1.7K,1700
332,pakoyaso_,Pakoyaso,14.5M,4.2M,4200000,500.1K,500100,758,758,574,574
333,phuonganhcun97,Lê Phương Anh,1.6M,4M,4000000,314K,314000,1.7K,1700,520,520
334,emrata,Emrata,2.1M,3.4M,3400000,323K,323000,867,867,1.6K,1600
335,ygnazz,NAS,2.5M,2.2M,2200000,318.9K,318900,1.7K,1700,2.3K,2300
336,twice_tiktok_officialjp,TWICE JAPAN OFFICIAL,4.8M,1.3M,1300000,276.5K,276500,4.8K,4800,2.9K,2900
337,syifahadjuuuuuuu,Syifa Hadju,4.1M,3.3M,3300000,473.8K,473800,1.2K,1200,513,513
338,xule079,Xù LèO,1.8M,5.3M,5300000,235.1K,235100,2K,2000,213,213
339,vanessalopesr,Vanessa Lopes,26.9M,2.9M,2900000,275.6K,275600,2.2K,2200,1.3K,1300
340,fahmi.nm,Fahmi,8.8M,3.3M,3300000,437.7K,437700,1.2K,1200,759,759
341,postmalone,Post Malone,14.4M,1.6M,1600000,221K,221000,2.8K,2800,4.9K,4900
342,kekepalmer,Keke Palmer,7M,1.8M,1800000,313.9K,313900,2.2K,2200,2.6K,2600
343,mrcaqui,Facundo Izquierdo,7.1M,1M,1000000,294.1K,294100,1.5K,1500,7.4K,7400
344,madelineargy,madz,3.3M,3.2M,3200000,574.8K,574800,976,976,463,463
345,los_chicaneros,Los_chicaneros,5.2M,2.3M,2300000,235.4K,235400,1.5K,1500,3.4K,3400
346,kaelimaee,kaeli mae,12.4M,3.2M,3200000,435.9K,435900,1.1K,1100,786,786
347,sara.wais,Sara Waisglass,4.4M,2.4M,2400000,502K,502000,1.7K,1700,481,481
348,anas_elshayib,انس الشايب,4.6M,3.5M,3500000,182.4K,182400,2.3K,2300,1.7K,1700
349,jjeverettrose,Jake Joseph Everett-Rose,4.3M,2.3M,2300000,375.1K,375100,1.6K,1600,1.5K,1500
350,sauud_70,سعود القحطاني,2.7M,3.3M,3300000,111.7K,111700,5.6K,5600,1.4K,1400
351,simonservidamusic,simonservidamusic,126.4K,2.3M,2300000,252K,252000,1.8K,1800,2.7K,2700
352,itstaylerholder,Tayler Holder,20M,4.8M,4800000,301.2K,301200,1.2K,1200,601,601
353,rafaelsantos,Rafael Santos,19.4M,2.8M,2800000,417.3K,417300,1.7K,1700,497,497
354,poorlifecx,Poorlifecx,1.3M,4M,4000000,160.6K,160600,1.9K,1900,2.1K,2100
355,retomiguel,Jen & Miguel,3.2M,2.4M,2400000,267.8K,267800,564,564,3.5K,3500
356,johnsonfiles,The Johnson Files,296.6K,1.6M,1600000,181.5K,181500,476,476,8.3K,8300
357,yura.yunita,Yura Yunita,1.1M,2.7M,2700000,340.6K,340600,1.6K,1600,1.2K,1200
358,islasvlogs_,Islas Vlogs,2.8M,4.1M,4100000,445.1K,445100,740,740,638,638
359,cardncyn,Carddd,4.9M,4M,4000000,589.2K,589200,682,682,383,383
360,pkllipe,Pk,20.1M,2M,2000000,422.2K,422200,1.2K,1200,1.7K,1700
361,gregoriopernia,gregorioperniaoficial,5M,3M,3000000,195.4K,195400,2.5K,2500,1.7K,1700
362,adrianbliss,Adrian Bliss,7.6M,2.8M,2800000,444K,444000,576,576,1.4K,1400
363,joycaledelire,JoycaLeDelire,3.6M,2M,2000000,325.6K,325600,1.6K,1600,2.2K,2200
364,andy.and.michelle,Andy & Michelle,6.1M,2.7M,2700000,328.5K,328500,1K,1000,1.8K,1800
365,nalgalia.g,nati👽,15.8M,5.6M,5600000,393.3K,393300,666,666,449,449
366,libardoisaza,Libardo Isaza,20M,4M,4000000,455.1K,455100,1K,1000,350,350
367,tonyeffebaby777,tonyeffebaby777,674.5K,2.2M,2200000,304.6K,304600,1.3K,1300,2.3K,2300
368,avascreams,ava,1.3M,1.8M,1800000,367.7K,367700,2.7K,2700,956,956
369,febrastanty,Febbyrastanty,1.2M,4.6M,4600000,250K,250000,1K,1000,1.1K,1100
370,leigh_mcnasty,Leigh McClendon,3.6M,1.5M,1500000,175.6K,175600,1.6K,1600,7.5K,7500
371,yazidzohri,Yazid Zohri,2.8M,1.5M,1500000,96.1K,96100,14.2K,14200,2.3K,2300
372,jaynagy,JAY JAMES NAGY,8.8M,1.3M,1300000,171.8K,171800,601,601,9.8K,9800
373,viraltvro,Viral Videos,249.7K,3.7M,3700000,111.8K,111800,927,927,4.8K,4800
374,yurinya1128,ゆりにゃ,795.5K,4M,4000000,194.7K,194700,2.1K,2100,887,887
375,kehlani,Kehlani,4.1M,2.2M,2200000,320.5K,320500,1.9K,1900,1.5K,1500
376,jameshenry,James Henry,4.1M,4.9M,4900000,446.2K,446200,424,424,640,640
377,mdrr05,🇩🇿مروان الباتني😂,3.2M,2.4M,2400000,125.9K,125900,1.6K,1600,6.2K,6200
378,e_l_k_s_a_7_a,🔱 الكساحه 🔱,7.5M,2.2M,2200000,245.4K,245400,2.4K,2400,1.9K,1900
379,pete_pamana,petepamana,3.3M,1.9M,1900000,225.6K,225600,3.6K,3600,1.6K,1600
380,suavexavier,Savyy,13.4M,1.9M,1900000,312.7K,312700,2.4K,2400,1.4K,1400
381,voronina_valeria_,Valeria Voronina,4.2M,4.9M,4900000,278.1K,278100,969,969,698,698
382,anna..paull,Anna Paul,5.8M,2.7M,2700000,460.4K,460400,1.5K,1500,326,326
383,jairitosolano,jairito,2.3M,4.4M,4400000,306.3K,306300,674,674,983,983
384,axelviewoficial,AxelView,4.2M,1.8M,1800000,186K,186000,999,999,5.6K,5600
385,kallmewhateveryouwant,kallmewhateveryouwant,11.7M,1.9M,1900000,362.8K,362800,2.8K,2800,415,415
386,dennysumargoreal,DENNY SUMARGO,3.8M,4.2M,4200000,217.6K,217600,1.6K,1600,832,832
387,barak.ff,Barak.ff,234K,1.6M,1600000,178.9K,178900,5.2K,5200,2.4K,2400
388,thelandofboggs,The Land Of Boggs,6M,2.5M,2500000,350.9K,350900,518,518,2K,2000
389,isramy,Ramy Chaaban,3.8M,2.2M,2200000,314.4K,314400,1.5K,1500,1.6K,1600
390,agilmarferreira,Agilmar Ferreira,1.6M,3M,3000000,225.1K,225100,627,627,2.6K,2600
391,rauwalejandro,rauwalejandro,12.7M,4.3M,4300000,215.2K,215200,1K,1000,1.3K,1300
392,t_400,جوقي💚,4.2M,2.1M,2100000,212K,212000,2.9K,2900,1.9K,1900
393,sarbeeston,Sarah Beeston,4.2M,3.1M,3100000,316K,316000,1.6K,1600,541,541
394,herranwalt,Herr Anwalt,6M,1.9M,1900000,262.4K,262400,2K,2000,2.3K,2300
395,2ndshuichiro,2nd 修一朗,376.4K,4M,4000000,126.8K,126800,922,922,3.3K,3300
396,elbernas321,BernaVeo2010,2.5M,1.1M,1100000,121.7K,121700,471,471,15.4K,15400
397,lisefalfio,Lisef Alfio,2M,2.3M,2300000,217.3K,217300,847,847,3.4K,3400
398,strangehuman,nova,11.4M,2.3M,2300000,322.2K,322200,1.4K,1400,1.5K,1500
399,yurilamasbella,Yuri Lamasbella,2.8M,1.7M,1700000,191.6K,191600,2.7K,2700,3.8K,3800
400,darrellthorne,Thornedarrell,911K,2.3M,2300000,254.1K,254100,1.3K,1300,2.3K,2300
401,farhanrn__,FARHAN,5.9M,2.4M,2400000,331.8K,331800,1.5K,1500,1.1K,1100
402,self.videos,self.videos,723.3K,3.7M,3700000,472.7K,472700,694,694,488,488
403,cindy.or1,cindy.or,132.5K,1.7M,1700000,416.1K,416100,1.2K,1200,1.7K,1700
404,iniganta,Ganta 🐮,1.7M,2.3M,2300000,195.5K,195500,3K,3000,1.6K,1600
405,morganpresleyxo,Morgan Presley,5.5M,2.4M,2400000,389.6K,389600,744,744,1.4K,1400
406,johaanzu,JohaanZu,4.4M,2.5M,2500000,319.6K,319600,1.3K,1300,1.2K,1200
407,minami.0819,🦄💙MINAMI💙🦄,1.8M,1.2M,1200000,161.9K,161900,8.8K,8800,1.6K,1600
408,thebandmcmillan,The Band McMillan,896.9K,2.5M,2500000,212.6K,212600,1.7K,1700,2.1K,2100
409,lee.cuong,Lee Cường,1.2M,3.9M,3900000,151.3K,151300,1.9K,1900,1.5K,1500
410,cesarpantoja.n,Cesar Pantoja,15.2M,3.5M,3500000,391.5K,391500,1.2K,1200,266,266
411,zachlanebryan,Zach Bryan,1.3M,958.4K,958400,212.8K,212800,2.4K,2400,7.3K,7300
412,mattchessco,Matt Chessco,2.7M,15M,15000000,151.3K,151300,656,656,213,213
413,losariasbrothers,Los Arias,1.6M,1.8M,1800000,261K,261000,637,637,3.7K,3700
414,karna.val,🎀КАРНАВАЛ🎀,24.8M,2M,2000000,196.4K,196400,3.1K,3100,2K,2000
415,jdiasss_,João Dias,8.2M,1.7M,1700000,382.3K,382300,1.8K,1800,1.2K,1200
416,realfunnymarco,FunnyMarco,1.8M,1.2M,1200000,154K,154000,2.5K,2500,7.8K,7800
417,pierson,Pierson,14.2M,2.7M,2700000,331.3K,331300,1.9K,1900,211,211
418,jonata_26,Jonata,6.9M,2.4M,2400000,354K,354000,663,663,1.6K,1600
419,isaiahgarza,Isaiah Garza,8M,1.7M,1700000,269.2K,269200,2.8K,2800,1.4K,1400
420,kessel_nathan_official,Nathan Kessel,9.1M,2.6M,2600000,169.6K,169600,758,758,3.6K,3600
421,soy_marcela4,Soy_marcela,5.4M,1.7M,1700000,295.5K,295500,722,722,3K,3000
422,fedevigevani,Fede Vigevani,15.4M,2.2M,2200000,284K,284000,2.5K,2500,491,491
423,chourouk.model_official,Chourouk_model_official,6M,4M,4000000,207.4K,207400,760,760,1.5K,1500
424,thecoreyb,Corey B,9M,1.2M,1200000,174.6K,174600,977,977,8K,8000
425,artistadasencasa,artistadas en casa,6.2M,5.1M,5100000,294.4K,294400,450,450,783,783
426,isandrep,andreina perdomo,4.3M,6.2M,6200000,233.2K,233200,918,918,362,362
427,sabrinacarpenter,Sabrina Carpenter,13.3M,1.6M,1600000,386.3K,386300,2.2K,2200,843,843
428,dina_kalanta,Dina_Kalanta,3.9M,3.8M,3800000,196.1K,196100,1.6K,1600,821,821
429,brittikitty,Brittany & Lily,15M,2.4M,2400000,326.7K,326700,1.3K,1300,1K,1000
430,nelkboys,NELKBOYS,4.3M,2.2M,2200000,168.1K,168100,1.6K,1600,3.3K,3300
431,ailaughatmyownjokes,"it's a me, Silvia :)",2.5M,1.4M,1400000,254.4K,254400,1.3K,1300,3.8K,3800
432,kpifthatscool,KP Parker,293.1K,1.4M,1400000,277.1K,277100,3.1K,3100,1.4K,1400
433,miguelmartinezoficial,MiguelMartinez,2.1M,3.2M,3200000,131.5K,131500,517,517,3.7K,3700
434,vidhia_r,🐇Vidhi_R🐇,7.7M,1.4M,1400000,163.4K,163400,5.3K,5300,2.8K,2800
435,shayvise,Shayvise,4.3M,2.4M,2400000,366.7K,366700,1.7K,1700,269,269
436,christiaancaarrasco,christian✌🏼,11K,1.2M,1200000,153.9K,153900,770,770,8.7K,8700
437,jessie.shen,Jessie,6.8M,2.7M,2700000,338.6K,338600,1.3K,1300,686,686
438,andydesu,Andy Watabe,622.9K,2.6M,2600000,301.2K,301200,1.2K,1200,1.1K,1100
439,jahkhalib,Jah Khalib,857.4K,1.8M,1800000,249.5K,249500,957,957,3K,3000
440,meghantrainor,Meghan Trainor,16.1M,3.8M,3800000,272.3K,272300,1.2K,1200,477,477
441,leozitorocha1,Leozito Rocha,1.7M,1.2M,1200000,121.7K,121700,2K,2000,9.8K,9800
442,bequietjoe,joe hegyes,121.5K,2.9M,2900000,269.3K,269300,906,906,1.3K,1300
443,fatkitchens,Fatkitchens,27.6K,2.8M,2800000,149.4K,149400,530,530,3.6K,3600
444,annecurtissmith,Anne Curtis,1.8M,2.1M,2100000,368.1K,368100,1.2K,1200,1K,1000
445,theshabakitchen,The Shaba Kitchen,2.5M,1.8M,1800000,153.5K,153500,2.4K,2400,3.8K,3800
446,dafnnejm,dafnne ☻,5M,2.6M,2600000,520.1K,520100,812,812,473,473
447,namemnjtv12,MNJ TV(ตัวจริง),7.6M,3.3M,3300000,285.6K,285600,1.5K,1500,346,346
448,kingbach,KingBach,27.7M,2.1M,2100000,316.5K,316500,673,673,1.9K,1900
449,bradtheboxer,Just brad,2.5M,2.4M,2400000,147.8K,147800,1.6K,1600,3.3K,3300
450,slick.stevie,Steve,3.3M,1.7M,1700000,243.7K,243700,442,442,3.6K,3600
451,lexbra,Lexbra.yt,768.6K,5.8M,5800000,329.1K,329100,700,700,176,176
452,imarayulloa1,Tik Toker,4.9M,1.7M,1700000,125K,125000,1.5K,1500,6.6K,6600
453,miguelito_peru,Miguel Alessandro,2.7M,1.9M,1900000,156.4K,156400,953,953,4.6K,4600
454,cv.wo,محمد الأمير,608.8K,2M,2000000,116.8K,116800,3.3K,3300,3.8K,3800
455,thinhung99,Thị Nhung,6.5M,1.7M,1700000,189.7K,189700,4.8K,4800,373,373
456,ltripping,ltripping,62.2K,2.2M,2200000,229.2K,229200,1.2K,1200,2.1K,2100
457,jose_arrt,José,2.3M,3.8M,3800000,149.1K,149100,2.4K,2400,518,518
458,chefschwarz,Chefschwarz,4.7M,1.8M,1800000,217.6K,217600,1.7K,1700,2.4K,2400
459,mamalindy,Lindy and Jlo,14M,3.3M,3300000,243.8K,243800,1.1K,1100,880,880
460,nessaabarrett,Ness,19.8M,2.6M,2600000,257.4K,257400,1.2K,1200,1.3K,1300
461,keisyaleprongka,keisya levronka,602.1K,6M,6000000,161.7K,161700,534,534,1.1K,1100
462,carolcastromx,Carol Castro,13.5M,3.8M,3800000,368.1K,368100,856,856,295,295
463,mikaylanogueira,Mikayla Nogueira,13.8M,2.4M,2400000,278.3K,278300,1.9K,1900,498,498
464,hesfinatia,PINAT🍅|| IG: @hesfinatia,9.6M,4.1M,4100000,361.3K,361300,819,819,264,264
465,spriteder_spd,Prite Netijen Netirattanapaiboon,5.3M,4.2M,4200000,416.7K,416700,666,666,258,258
466,ms.mawma,CERTIFIED LEOO,611.4K,1.1M,1100000,297.5K,297500,2.6K,2600,2.3K,2300
467,daz_black,daz_black,7.7M,1.4M,1400000,272.4K,272400,2K,2000,2.1K,2100
468,nathaliavalente,Nathalia,15.1M,2.7M,2700000,344.4K,344400,1.3K,1300,436,436
469,hoaa.hanassii,Đào Lê Phương Hoa,13.2M,2.9M,2900000,250.2K,250200,1.4K,1400,807,807
470,cznburak,cznburak,66.3M,3.2M,3200000,205.1K,205100,1.7K,1700,681,681
471,priv_mav,MAV 🦦,8.1M,2.7M,2700000,290.8K,290800,588,588,1.4K,1400
472,christophersturniolo,Christopher Sturniolo,4M,1.5M,1500000,243.4K,243400,2.8K,2800,1.4K,1400
473,jimena.jimenezr,Jimena,25.7M,2.3M,2300000,353.5K,353500,900,900,1K,1000
474,duolingo,Duolingo,5.3M,1.2M,1200000,186.9K,186900,5.8K,5800,1.2K,1200
475,mariolcalderon,Mario Calderon,2.3M,731.2K,731200,169.9K,169900,2.6K,2600,9.9K,9900
476,davidyrodriguez,That French Guy,8.3M,1.8M,1800000,352.8K,352800,1.7K,1700,771,771
477,sharky,Sharky 🦈,1.1M,1.7M,1700000,294.9K,294900,2K,2000,1.2K,1200
478,manja_faiez,Manja,1.3M,1.8M,1800000,218K,218000,2.1K,2100,2K,2000
479,justicia_y_verdad,justicia y verdad,43.5K,1.9M,1900000,76.1K,76100,1.6K,1600,9K,9000
480,nhuchuu0909,Như Chuu 🎀,1.8M,5.5M,5500000,327.9K,327900,643,643,200,200
481,logfive,Logan,2.8M,2M,2000000,195.2K,195200,1.4K,1400,2.6K,2600
482,drewafualo,Drew Afualo,7.8M,1.7M,1700000,261.7K,261700,3.1K,3100,391,391
483,williamlast_krm,William Last KRM,9M,2.1M,2100000,174.1K,174100,2.5K,2500,1.6K,1600
484,datdo0803,Đỗ Đạt,7.7M,3.2M,3200000,298.2K,298200,1.1K,1100,437,437
485,luis_sal,Luis,593.3K,1.4M,1400000,211.2K,211200,1.5K,1500,3.6K,3600
486,realjohnmaggi,John Maggi,1M,1.1M,1100000,240.9K,240900,2.4K,2400,3.2K,3200
487,mammybanter,Mammy Banter,1.8M,1.1M,1100000,126.8K,126800,1.5K,1500,9.6K,9600
488,lorrayneoliveiraofc,Lorrayne Oliveira,6.2M,2M,2000000,245.3K,245300,2.7K,2700,248,248
489,ben,ben,5.2M,3.6M,3600000,271K,271000,1K,1000,460,460
490,abbieherbert,AbbieHerbert,14.4M,3.6M,3600000,406K,406000,698,698,301,301
491,jadethirlwall,Jade Thirlwall,2M,2M,2000000,243.4K,243400,2.4K,2400,646,646
492,thewizardliz,Thewizardliz,2.3M,2M,2000000,335.4K,335400,679,679,1.5K,1500
493,braclya,Brady Arthur,646.8K,1.7M,1700000,186.1K,186100,2.1K,2100,2.5K,2500
494,giannis_an34,Giannis Antetokounmpo,3.9M,2.3M,2300000,380.1K,380100,960,960,698,698
495,landonbarkerr,Landon Barker,4.4M,2.4M,2400000,365.2K,365200,1.2K,1200,438,438
496,unlabeled_,Paula 🐄,1.4M,2.4M,2400000,399.9K,399900,923,923,577,577
497,bryansant_,Bryan Sant,2.1M,1.3M,1300000,250.9K,250900,1.5K,1500,3.1K,3100
498,equipedefrance,Equipe de France,9M,2.7M,2700000,252.9K,252900,1.2K,1200,918,918
499,morgandrinkscoffee,Morgan Eckroth,5.8M,2.7M,2700000,523K,523000,612,612,385,385
500,notorious_foodie,Notorious Foodie,2.9M,2.1M,2100000,165.6K,165600,763,763,3.3K,3300
501,ayanakamachi,中町綾,1.5M,3M,3000000,230.4K,230400,1.1K,1100,897,897
502,katiessigmond,katie sigmond,7M,2.3M,2300000,330.6K,330600,967,967,863,863
503,missdouaa.officiel,missdouaa,9.7M,2.5M,2500000,186.5K,186500,1.5K,1500,1.4K,1400
504,kenti.best.boi,kenti 🐸,1.3M,1.3M,1300000,263.9K,263900,1.9K,1900,2.1K,2100
505,gensho_yasuda,安田現象🧬クラファン中！,2.5M,2.4M,2400000,315.1K,315100,775,775,1.1K,1100
506,matt_mathews,Matt Mathews,2.9M,1.2M,1200000,163.8K,163800,3.4K,3400,3.6K,3600
507,guavajuice,guava,7.1M,3.4M,3400000,269K,269000,1.3K,1300,180,180
508,im_rawan0,روان|Rawan,3.1M,2.9M,2900000,168.8K,168800,2.2K,2200,681,681
509,mariavaniamv,Maria Vania,5.4M,3.7M,3700000,144.5K,144500,1.2K,1200,1.3K,1300
510,isaach.p,Isaac H.P,3.5M,970.1K,970100,162.6K,162600,7.3K,7300,1.4K,1400
511,samhurley,SAMHURLEY🌊,3.6M,1.2M,1200000,277K,277000,2.2K,2200,1.8K,1800
