Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
camilacabello,Camila Cabello,15.3M,15300000,5.2M,5200000,321.8K,321800,2.8K,2800,2K,2000
berkcoskunofficial,Berk Coşkun,3.5M,3500000,5.6M,5600000,194.2K,194200,2.9K,2900,4.5K,4500
ser.geybin,Ser Geybin,1.7M,1700000,3.8M,3800000,383.5K,383500,2.2K,2200,3.3K,3300
anthpo,Anthony Po,688.3K,688300,1.7M,1700000,414.2K,414200,4.7K,4700,6.9K,6900
erikarichardo,erika,7.9M,7900000,4.6M,4600000,578.7K,578700,2.5K,2500,472,472
thegnshow,The Graham Norton Show,1.2M,1200000,4.9M,4900000,491K,491000,807,807,2.5K,2500
cx_.q,مصطفى البصراوي 62,2.1M,2100000,3.9M,3900000,234.7K,234700,3.1K,3100,5.4K,5400
owen.han,MANGIAMOH,1.5M,1500000,4.8M,4800000,376.2K,376200,1.2K,1200,3.1K,3100
keniaos,KeniaOs,13.7M,13700000,2.2M,2200000,371.2K,371200,7.5K,7500,2K,2000
angryreactions,Oneya D’Amelio,25.8M,25800000,2.8M,2800000,406.2K,406200,6.2K,6200,680,680
saraecheagaray,sara,7M,7000000,3.6M,3600000,700.7K,700700,2K,2000,1K,1000
ana_eusse,Ana Maria,10.5M,10500000,4.4M,4400000,665.5K,665500,2.1K,2100,560,560
ani__mel,Melody 🌱,798.6K,798600,1.9M,1900000,359.7K,359700,2.7K,2700,8.5K,8500
julianjacob,Julian Jacob,1.2M,1200000,3.8M,3800000,496.5K,496500,2.4K,2400,1.6K,1600
averywit,Avery,1M,1000000,5.4M,5400000,724.1K,724100,1.6K,1600,293,293
buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1.8M,1800000,1.6M,1600000,228.8K,228800,18.5K,18500,1.9K,1900
emilythetrimmer,Emily Mohring,492.6K,492600,5.8M,5800000,267.9K,267900,1.7K,1700,3.1K,3100
fabru_blacutt,Fabru,17M,17000000,5.3M,5300000,544.8K,544800,1.9K,1900,642,642
yoangelolo,Angelo Bahu,1.2M,1200000,2.4M,2400000,224.3K,224300,12.2K,12200,1.5K,1500
virginiafonseca,Virginia,30.6M,30600000,4.4M,4400000,566.4K,566400,2.3K,2300,679,679
haritsuuu,ハリツ🌿極,1.3M,1300000,4.1M,4100000,158.1K,158100,4.9K,4900,6.4K,6400
thekapelariz,The Kapelari Family,1.1M,1100000,2.8M,2800000,464.2K,464200,3.5K,3500,2.1K,2100
camavinga,Eduardo Camavinga,1M,1000000,3.3M,3300000,522.3K,522300,2.5K,2500,1.6K,1600
feezius,feezius,2.1M,2100000,4M,4000000,525.8K,525800,2.8K,2800,654,654
lights.are.off,LIGHTS ARE OFF,18.7M,18700000,2.9M,2900000,292.7K,292700,6.3K,6300,2.1K,2100
benjaminmaissecret,benjamin,174.4K,174400,7M,7000000,39.2K,39200,24K,24000,1.7K,1700
calebrownn,Cale Brown,5M,5000000,2.7M,2700000,459.5K,459500,1.5K,1500,4.2K,4200
realuser_1,Jrm,1.6M,1600000,4.1M,4100000,411.5K,411500,2.5K,2500,1.7K,1700
anas_elshayib,انس الشايب,3.6M,3600000,4.6M,4600000,194K,194000,6.1K,6100,1.8K,1800
caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15.2M,15200000,3.5M,3500000,691.5K,691500,2.5K,2500,428,428
hi_arvans,arvanss,201.4K,201400,1.3M,1300000,320.3K,320300,1.2K,1200,15.5K,15500
theestallion,Megan Thee Stallion,10.9M,10900000,1.9M,1900000,499.7K,499700,4.4K,4400,2.9K,2900
rubentuestaok,Ruben Tuesta,12.3M,12300000,4.5M,4500000,418.3K,418300,1.1K,1100,2.6K,2600
kingbach,KingBach,26.3M,26300000,3.1M,3100000,582.2K,582200,1.8K,1800,2K,2000
rdcworld1,Mark Phillips,2.8M,2800000,1.8M,1800000,336K,336000,2.3K,2300,9.1K,9100
anna..paull,Anna Paul,3M,3000000,2.8M,2800000,655.6K,655600,2.9K,2900,838,838
drewafualo,Drew Afualo,6.8M,6800000,2.2M,2200000,446.5K,446500,5.1K,5100,2.1K,2100
scottkress_,scottkress,2.9M,2900000,1.5M,1500000,402.7K,402700,7.4K,7400,4.1K,4100
dixiedamelio,dixie,57.2M,57200000,4.4M,4400000,275.2K,275200,4.6K,4600,1.1K,1100
nianaguerrero,Niana Guerrero,30.5M,30500000,3.2M,3200000,493K,493000,2.7K,2700,1.7K,1700
benoftheweek,ben de almeida,10.6M,10600000,3.5M,3500000,512.8K,512800,3.1K,3100,722,722
maiaknight,Maia Knight,8.1M,8100000,3.5M,3500000,628.8K,628800,2.5K,2500,647,647
theovon,Theo Von,1.4M,1400000,2.4M,2400000,230.6K,230600,2.7K,2700,9.8K,9800
abbieherbert,AbbieHerbert,12.2M,12200000,4.6M,4600000,619.2K,619200,1.6K,1600,772,772
yazidoe,YaziDoe,958.9K,958900,2M,2000000,297.4K,297400,2.8K,2800,8.4K,8400
loewhaley,Laura,1.4M,1400000,2.5M,2500000,232K,232000,1.2K,1200,10.6K,10600
georgieanthony,georgie munoz,2.2M,2200000,1.8M,1800000,294.3K,294300,3K,3000,9.5K,9500
.blue_devil,Why Not ? ✧,941.9K,941900,4.8M,4800000,486.4K,486400,1.5K,1500,1.3K,1300
ya_gazdanova,Нина Газданова,3.4M,3400000,3.7M,3700000,184K,184000,932,932,8.8K,8800
piperrockelle,Piperrockelle,9M,9000000,2.4M,2400000,275.4K,275400,9.3K,9300,517,517
incorrectlyroce,Roce Ordoñez,5M,5000000,3.1M,3100000,499.5K,499500,1.9K,1900,2.2K,2200
wayeelkaboy10,Wayeelka boy10,852.4K,852400,3.7M,3700000,169.6K,169600,5.6K,5600,4.3K,4300
joaoferdnan,João Ferdnan,7.4M,7400000,2M,2000000,238.5K,238500,4.2K,4200,9.1K,9100
simpleputin,Просто Путин,6M,6000000,3.1M,3100000,157.9K,157900,10.6K,10600,2.2K,2200
chapaevva,чапаева,1.9M,1900000,3.8M,3800000,347.7K,347700,2.9K,2900,1.7K,1700
lyna_com,lyna_com2000,4.4M,4400000,3.4M,3400000,451.3K,451300,3K,3000,1.1K,1100
arigameplays,AriGameplays,19.3M,19300000,2.6M,2600000,444.6K,444600,4.5K,4500,915,915
tommyinnit,Tommy,11.5M,11500000,1.5M,1500000,432.1K,432100,7.6K,7600,1.9K,1900
arigameplays,AriGameplays,19.3M,19300000,2.6M,2600000,444.6K,444600,4.5K,4500,915,915
tommyinnit,Tommy,11.5M,11500000,1.5M,1500000,432.1K,432100,7.6K,7600,1.9K,1900
alexisomman,Alexis Omman,9.2M,9200000,1.6M,1600000,330K,330000,5.1K,5100,6.5K,6500
samadhiza_,samadhiza,7.4M,7400000,3.7M,3700000,418.3K,418300,2.1K,2100,1.8K,1800
joerauth_,Joe rauth,4.9M,4900000,2.9M,2900000,463K,463000,1.6K,1600,2.9K,2900
danielarodrice,Daniela Rodrice,9.9M,9900000,4.2M,4200000,735.7K,735700,1.5K,1500,391,391
official_kep1er,Kep1er,3.5M,3500000,1.8M,1800000,395K,395000,5.5K,5500,2.7K,2700
sucss.s,Açucena Guirra,9.7M,9700000,2.6M,2600000,468.1K,468100,3K,3000,1.9K,1900
veydi_rush,veydi_rush,8M,8000000,2.9M,2900000,456.8K,456800,2.6K,2600,1.8K,1800
davidsiwonchoi,최시원 • Siwon Choi,1.9M,1900000,1.3M,1300000,314.3K,314300,8.6K,8600,5.6K,5600
livvy,Olivia Dunne,5.1M,5100000,2.7M,2700000,316K,316000,4.9K,4900,1.8K,1800
catherineealicia,catheez,1.3M,1300000,2.3M,2300000,306.4K,306400,5.9K,5900,2.2K,2200
bonjee,Bonjee,1.8M,1800000,1.8M,1800000,382.9K,382900,2.5K,2500,5.9K,5900
tuckercomedy,Tucker Reynolds,2M,2000000,1.6M,1600000,225.2K,225200,2.9K,2900,12.7K,12700
jennifer_aplicano,Jennifer Aplícano,1M,1000000,2.5M,2500000,248.5K,248500,3.7K,3700,5.4K,5400
qonitcah,Qonitcah | Health Education,1.4M,1400000,3.1M,3100000,277.5K,277500,4.4K,4400,2K,2000
carolcastromx,Carol Castro,9.7M,9700000,3.4M,3400000,564.2K,564200,2.4K,2400,508,508
vorostwins,vorostwins,2.6M,2600000,2.7M,2700000,344.1K,344100,3.8K,3800,2.1K,2100
tiagodionisio,Tiago_Dionisio,5.5M,5500000,2.4M,2400000,227K,227000,1.1K,1100,8.9K,8900
magic_daniell,Magic Daniell,9M,9000000,4.5M,4500000,503.4K,503400,2K,2000,427,427
3tl.team,3TL,1.6M,1600000,4.4M,4400000,380.9K,380900,2.7K,2700,493,493
nessaabarrett,Nessa Barrett,17.9M,17900000,2.8M,2800000,338.2K,338200,3.8K,3800,2K,2000
saeemm2002,Samantha Ancheta,4.1M,4100000,1.8M,1800000,396.9K,396900,4K,4000,3.6K,3600
nate.dawg.com,Nate dawg,230.2K,230200,2.4M,2400000,434.5K,434500,3.3K,3300,1.9K,1900
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2.6M,2600000,2.9M,2900000,489.4K,489400,2.4K,2400,1.3K,1300
xshueur,ғᴇᴇʟɪɴɢ,256.6K,256600,2.4M,2400000,186K,186000,0,0,11.7K,11700
cleanpuppy,Chloe Cherry,1.7M,1700000,3.6M,3600000,617.4K,617400,1.7K,1700,612,612
tootymcnooty,TootyMcNooty,7.3M,7300000,1.5M,1500000,401.1K,401100,2.2K,2200,6.4K,6400
miakhalifa,Mia K.,32.5M,32500000,3.7M,3700000,340.3K,340300,3.5K,3500,644,644
notraymodeli,Modeli,1.9M,1900000,1.8M,1800000,404.3K,404300,2.7K,2700,4.3K,4300
axelwebber,Axel,4.2M,4200000,2.4M,2400000,544.7K,544700,3.4K,3400,522,522
baebyshaa,shalynne,324.6K,324600,3M,3000000,650.3K,650300,1.4K,1400,1.2K,1200
momonatamada,Momona Tamada,3.7M,3700000,2.7M,2700000,489.4K,489400,3.3K,3300,473,473
nikkietutorials,nikkietutorials,5.1M,5100000,4.3M,4300000,536.6K,536600,1.2K,1200,987,987
spicyycam_,Spicy Cam,18.2M,18200000,3.5M,3500000,428.1K,428100,3K,3000,295,295
sa_ro01,sara💜,3.4M,3400000,3.3M,3300000,265.9K,265900,4.6K,4600,1.1K,1100
byniaromero,Nia Romero,10.4M,10400000,4M,4000000,531.1K,531100,2K,2000,291,291
_vqsngi.03_,Ghét môn Toán =))),87.7K,87700,2.6M,2600000,367.5K,367500,3.3K,3300,1.8K,1800
oblomoffrecipe,oblomoffrecipe,5.3M,5300000,3M,3000000,271.8K,271800,1.2K,1200,4.8K,4800
yg_treasure_tiktok,yg_treasure_official,3.5M,3500000,1.7M,1700000,355.3K,355300,4.1K,4100,4.2K,4200
luq_music,LUQ_MUSIC,165.7K,165700,2M,2000000,237K,237000,5.9K,5900,4.3K,4300
bradtheboxer,Just brad,2M,2000000,2.5M,2500000,216.7K,216700,3.6K,3600,5.3K,5300
ftedooda,🛄,23.5K,23500,1.2M,1200000,219.4K,219400,2.8K,2800,16.4K,16400
kurtisconner,kurtis conner,1.8M,1800000,2.2M,2200000,465.8K,465800,3.1K,3100,1.5K,1500
maskrayy1,maskrayy1,4.5M,4500000,7M,7000000,280.9K,280900,1.2K,1200,1.2K,1200
babybella777,Bella Hadid,4.4M,4400000,3M,3000000,504.5K,504500,2.6K,2600,614,614
trainee_a,Trainee A,2.7M,2700000,1.3M,1300000,384K,384000,5.3K,5300,4.2K,4200
texasbushman,Texas BUSHMAN,1.2M,1200000,2.4M,2400000,242.6K,242600,1.5K,1500,6.7K,6700
ugolord,⚖️ The TikTok Attorney ⚖️,5.3M,5300000,2.8M,2800000,281K,281000,5.6K,5600,497,497
fedevigevani,Fede Vigevani,12.6M,12600000,2.7M,2700000,370.4K,370400,4K,4000,721,721
nam_patcharaporn,Namfon,656.5K,656500,2.2M,2200000,374K,374000,3K,3000,2.6K,2600
endomarf,☻☆EndoMarfa☆☻,517.2K,517200,1.7M,1700000,516.5K,516500,3.4K,3400,2K,2000
dasigantung,Dasi Gantung,5.1M,5100000,3.5M,3500000,497.8K,497800,1.5K,1500,1.2K,1200
llucastorresg,Lucas Torres,831.4K,831400,1.5M,1500000,328.5K,328500,4.5K,4500,4.9K,4900
bungalow_jonathan,Bungalow Jonathan,251.2K,251200,1.5M,1500000,116.6K,116600,994,994,25.1K,25100
.aidenbeaudry,.aidenbeaudry_official,483.3K,483300,2M,2000000,344.8K,344800,3.1K,3100,3.5K,3500
cbum,Chris Bumstead,2M,2000000,2M,2000000,389.1K,389100,2.6K,2600,3.2K,3200
rebeccazamolo,rebecca zamolo,16.8M,16800000,2.3M,2300000,233.9K,233900,7.9K,7900,701,701
farrelhkeem,FA🧛,179.1K,179100,1.8M,1800000,292.9K,292900,2.1K,2100,6.4K,6400
cellat36,cellat36,8.2M,8200000,2.4M,2400000,212.3K,212300,6.4K,6400,2.4K,2400
clexxd,clexxd,8.9M,8900000,2.4M,2400000,227.3K,227300,8.1K,8100,118,118
yodeege,Deege,905.9K,905900,2.3M,2300000,366.9K,366900,1.9K,1900,3.5K,3500
brentrivera,Brent Rivera,42.8M,42800000,2.6M,2600000,492.8K,492800,3K,3000,433,433
herranwalt,Herr Anwalt,5.3M,5300000,2.2M,2200000,302.7K,302700,3.8K,3800,3K,3000
europaleague,Europa League,2.1M,2100000,2.8M,2800000,346.8K,346800,2K,2000,2.5K,2500
danivallem,Dani Valle,3.9M,3900000,1.6M,1600000,130.5K,130500,1.1K,1100,19.9K,19900
nourmar5,nourmar5,14.3M,14300000,1.3M,1300000,145.9K,145900,13K,13000,10.1K,10100
nada_m7amed,دودا🦹🏻🤍,5.8M,5800000,3.4M,3400000,281.2K,281200,2.3K,2300,2.3K,2300
ox_zung,원정맨 WonJeong,41.1M,41100000,2.8M,2800000,399.4K,399400,3.2K,3200,727,727
thor.aya,Thoraya Maronesy,1.5M,1500000,2.7M,2700000,468.3K,468300,2.1K,2100,1.3K,1300
caocuongvu,caocuongvu,3.4M,3400000,2.9M,2900000,346K,346000,3.1K,3100,1.3K,1300
renpc_,✨Ren PC✨,3.2M,3200000,1.7M,1700000,318K,318000,2.4K,2400,5.6K,5600
julesleblanc,jules,18.6M,18600000,2.9M,2900000,657.5K,657500,1.8K,1800,516,516
alexhook2303,Александр,4.3M,4300000,1.3M,1300000,253.6K,253600,10.8K,10800,2.3K,2300
laurahfritz,laura & lena,2.5M,2500000,2.2M,2200000,400.8K,400800,1.5K,1500,3.3K,3300
corvii_ff,EL CORVII 🍭,10.5M,10500000,2.5M,2500000,427.7K,427700,3.8K,3800,215,215
gabimfmoura,Gabriela Moura,7.7M,7700000,2.6M,2600000,381.3K,381300,1.9K,1900,2.4K,2400
bottleofdjinn,HIM,706.3K,706300,2.8M,2800000,582.7K,582700,1.6K,1600,1.1K,1100
mohmadtra,ترفولتا,1.8M,1800000,4.4M,4400000,304.7K,304700,2K,2000,1.2K,1200
respectme90,Football  ⚽️ футбол,658.1K,658100,2M,2000000,243.1K,243100,3.7K,3700,5K,5000
soycintiacossio,Cintia Cossio,4.1M,4100000,5.7M,5700000,480K,480000,702,702,838,838
thegoodhype,Goodlin Siblings,1.7M,1700000,2.5M,2500000,443.5K,443500,1.6K,1600,2.2K,2200
carolvillanes,Carol Villanes,4.1M,4100000,1.8M,1800000,312.3K,312300,7K,7000,458,458
just_jenoah_,Jenoah Santiago,1.4M,1400000,2.4M,2400000,488.5K,488500,1.5K,1500,2K,2000
datdo0803,Đỗ Đạt,6.5M,6500000,4.6M,4600000,368.8K,368800,1.7K,1700,732,732
robgronkowski,gronk,2.4M,2400000,2.4M,2400000,332K,332000,1.7K,1700,3.5K,3500
___nicoichi___,NICO【平成フラミンゴ】,1.3M,1300000,2.7M,2700000,288.9K,288900,3.2K,3200,2.1K,2100
pablitocastilloo,pablitocastilloo,4.5M,4500000,1.8M,1800000,225.6K,225600,1.4K,1400,9K,9000
iamjonathanpeter,Jonathan Peter,12.7M,12700000,3.2M,3200000,379K,379000,999,999,2.4K,2400
meowlife7,Cats is life,876.4K,876400,2.3M,2300000,311.5K,311500,1.6K,1600,4.1K,4100
pimpiriya1,PIM PIRIYA,1.3M,1300000,2.9M,2900000,567.9K,567900,1.2K,1200,1.3K,1300
ferchugimenez,Fernanda,4.3M,4300000,3.3M,3300000,456.5K,456500,1.4K,1400,1.3K,1300
homm9k,ХОМЯК,39M,39000000,2.8M,2800000,385.8K,385800,3K,3000,752,752
mndiaye_97,mndiaye_97,14.2M,14200000,2.2M,2200000,411.9K,411900,2.3K,2300,2.2K,2200
linatejeiro8,Lina Tejeiro,4M,4000000,4M,4000000,295.9K,295900,992,992,2.4K,2400
www.m4th.com,math!eu,6.9K,6900,1.3M,1300000,309.2K,309200,6.5K,6500,3.5K,3500
dovecameron,Dove Cameron,9M,9000000,1.8M,1800000,380.5K,380500,4.5K,4500,1.3K,1300
sjbleau,SJ,12.3M,12300000,3.6M,3600000,420.3K,420300,1.7K,1700,914,914
ginescorreguela,Ginés correguela,776.4K,776400,2.8M,2800000,140.5K,140500,2.6K,2600,7.7K,7700
mrzeooficial,MR ZEO 🇩🇴,16.1M,16100000,2M,2000000,251.1K,251100,2K,2000,5.9K,5900
stellajero16,Vester Ajero,1.2M,1200000,1.1M,1100000,265.7K,265700,10.9K,10900,2.5K,2500
teokun711abc,テオくん@幸せ者,1.2M,1200000,2.8M,2800000,317.6K,317600,1.8K,1800,2.6K,2600
ajo.ozil,𝙆𝙪𝙧𝙣𝙞𝙖 van 𝙂𝙪𝙨𝙢𝙖𝙣,900K,900000,6.4M,6400000,250.8K,250800,825,825,1.6K,1600
mr_paul.boy,"Паул, либо просто Паша",7.2M,7200000,2.2M,2200000,426K,426000,3K,3000,1.1K,1100
rblx.dreyzon,🤍 ДРЭЙЗОН • РОБЛОКС 🤍,1.3M,1300000,1.9M,1900000,234K,234000,7.4K,7400,1.2K,1200
mattiastanga,Mattia Stanga,2.3M,2300000,1.6M,1600000,242.4K,242400,1.3K,1300,8.6K,8600
hannahbahng,hannahbahng,1.9M,1900000,1.5M,1500000,471.3K,471300,4.1K,4100,1.3K,1300
haositofficial,HaositOfficial,1.2M,1200000,1.7M,1700000,344.6K,344600,5.6K,5600,936,936
kdramas_klis,✨KLIS✨,860.3K,860300,2.8M,2800000,368.5K,368500,1.4K,1400,2.3K,2300
mhc_f_f,✧☽ 𝒹 𝓇 𝑒 𝒶 𝓂 𝒾 𝓃 𝑔 ☾✧,1.1M,1100000,1.7M,1700000,269.9K,269900,1.4K,1400,7K,7000
yurielkysojeda,Yurielkys Ojeda,12.2M,12200000,4M,4000000,481K,481000,1.3K,1300,667,667
elsalsely00,🥇 السلسيلي 🥇,4.3M,4300000,4.6M,4600000,177.2K,177200,612,612,4K,4000
mayanelsayed,Mayan El Sayed,3.5M,3500000,4.4M,4400000,263.5K,263500,1.2K,1200,2.1K,2100
wasyanka,Василий,2.5M,2500000,1.7M,1700000,124K,124000,1K,1000,16.8K,16800
vidhia_r,Vidhi_R,4.4M,4400000,2.7M,2700000,290.6K,290600,3.2K,3200,1.6K,1600
com.yamato0515,【コムドット】やまと,1.7M,1700000,2M,2000000,271K,271000,4.9K,4900,1.9K,1900
kaylamalecc,kayla,6.6M,6600000,2.2M,2200000,363.1K,363100,4.4K,4400,267,267
munchieslab,Martín,2.7M,2700000,2.4M,2400000,180.5K,180500,796,796,7.6K,7600
albert_cancook,Albert Niazhvinski,4M,4000000,4.2M,4200000,403.4K,403400,1.4K,1400,712,712
juaniquilador,JuanSGuarnizo,8.6M,8600000,2M,2000000,452.2K,452200,1.6K,1600,2.5K,2500
cerenyaldz,Ceren Yaldız,9.2M,9200000,2.2M,2200000,164.5K,164500,8.5K,8500,1.3K,1300
thedannyphantom,danny,80.1K,80100,1.9M,1900000,177.1K,177100,7.8K,7800,2.7K,2700
cindylauw,CindyLauw,148.6K,148600,2.2M,2200000,323.9K,323900,4.5K,4500,439,439
gehadhassann,Gehad hassan👸🏻,7.3M,7300000,1.4M,1400000,177K,177000,3.5K,3500,10.7K,10700
dudamaryah,dudamaryah,4.1M,4100000,3M,3000000,340.7K,340700,2K,2000,1.4K,1400
the.revival,Revival,392.8K,392800,2.2M,2200000,283.8K,283800,1.2K,1200,4.4K,4400
gavinmagnus,GavinMagnus,5.2M,5200000,2M,2000000,254.9K,254900,6.4K,6400,412,412
ermmm.umm,user569215425698,2.1K,2100,1.9M,1900000,254.5K,254500,2.3K,2300,4.8K,4800
thegerbers_,🧡Маша и Роберт🧡,5.3M,5300000,3.7M,3700000,375.3K,375300,2.1K,2100,344,344
hiagodosvideos,Hiago Marques,1.2M,1200000,2.6M,2600000,365.4K,365400,2K,2000,1.6K,1600
andweaso,Andrea,5.9M,5900000,3M,3000000,542.1K,542100,1.2K,1200,884,884
luisvelody,Luis Velody,6.2M,6200000,3.3M,3300000,459.9K,459900,910,910,1.3K,1300
yoshi30244781481,にっしー,3.9M,3900000,4M,4000000,409.6K,409600,1.2K,1200,837,837
the_joe_gatto,joe_gatto,6.5M,6500000,2.9M,2900000,247.7K,247700,1.4K,1400,3.2K,3200
frankielapenna,Frankie LaPenna,1.8M,1800000,4.9M,4900000,411.7K,411700,735,735,943,943
.diana__tc,Diana TC,2.9M,2900000,3.2M,3200000,348.7K,348700,1.9K,1900,1.1K,1100
matsudake,M2DK/マツダ家の日常,4.7M,4700000,8.1M,8100000,199.8K,199800,1.2K,1200,833,833
anokhinalz,Аnokhina Liza,35.6M,35600000,2.8M,2800000,374K,374000,2.8K,2800,379,379
mranto,Anto Garcia,8.2M,8200000,6.5M,6500000,274.7K,274700,1.3K,1300,570,570
iheartmemphis,iHeartMemphis🔥,12.5M,12500000,4.3M,4300000,260.2K,260200,2.3K,2300,687,687
sobrevivente13,Edelson Ribeiro,4.1M,4100000,2.2M,2200000,188.3K,188300,1.7K,1700,6.2K,6200
pam_a_cake,Pam,4.1M,4100000,3.5M,3500000,487.4K,487400,1.6K,1600,334,334
ardkth,𝐊𝐢𝐦 𝐀𝐑𝐝,1.3M,1300000,1.1M,1100000,350.4K,350400,2K,2000,6.5K,6500
cemresolmaz,cemre solmaz,10.2M,10200000,2.2M,2200000,180.9K,180900,7.2K,7200,976,976
philipdefranco,Philip DeFranco,1.9M,1900000,2.5M,2500000,319.2K,319200,2.8K,2800,1.3K,1300
otakoyakisoba,otakoyakisoba,14.1M,14100000,2.8M,2800000,278.8K,278800,1.8K,1800,2.3K,2300
freeritzyralph,Ritzyralph,1.4M,1400000,1.5M,1500000,375.4K,375400,3.3K,3300,2.4K,2400
jhothsa,jhothsa,12.3M,12300000,1.7M,1700000,224.7K,224700,1.7K,1700,6.7K,6700
icebox,icebox,6.2M,6200000,3M,3000000,277.2K,277200,3.3K,3300,517,517
tatiana1964_2,Татьяна,31K,31000,1.7M,1700000,12.4K,12400,207,207,151.8K,151800
nmixx_official,NMIXX,1.1M,1100000,1.6M,1600000,318.5K,318500,4.2K,4200,2.1K,2100
bmbsh7,بمبش السيد♦️bimbsh♦️,3.8M,3800000,1.8M,1800000,289.5K,289500,3.8K,3800,2.3K,2300
jackjos3ph,Jack Joseph,2.4M,2400000,1.4M,1400000,246.3K,246300,3.5K,3500,5.7K,5700
bikedasher,Patrick,2.2M,2200000,3.3M,3300000,370.4K,370400,2.2K,2200,427,427
benjikrol,Benji Krol,30.3M,30300000,2.4M,2400000,338.9K,338900,3.4K,3400,488,488
djmariio,DjMaRiiO,983.8K,983800,2.2M,2200000,329.2K,329200,1.3K,1300,3K,3000
reeh__augusto,Reeh Augusto,3.7M,3700000,2.1M,2100000,371.8K,371800,2.5K,2500,1.6K,1600
onlyjayus,Bella Avila,17.6M,17600000,2.3M,2300000,344.7K,344700,2.6K,2600,1.3K,1300
sabrinacarpenter,Sabrina Carpenter,12M,12000000,2.2M,2200000,298.8K,298800,2.8K,2800,1.9K,1900
barbaracoura,Bárbara Coura,8M,8000000,2.4M,2400000,384.3K,384300,2.2K,2200,1.2K,1200
ngikuttrendaja,Ahmad Rizki,192.8K,192800,3.7M,3700000,304.5K,304500,1.5K,1500,1.2K,1200
rayssabuq,Rayssa Buq,5.4M,5400000,1.8M,1800000,326.8K,326800,2.6K,2600,2.6K,2600
olisboa,LISBOA,612K,612000,3M,3000000,505K,505000,944,944,1.1K,1100
mimiermakeup,Mirta Miler,14.5M,14500000,2.7M,2700000,448.6K,448600,2.2K,2200,367,367
verycooll_real,Very Cool,1.4M,1400000,3.1M,3100000,234.5K,234500,1.3K,1300,3K,3000
just.hamilton,Just Hamilton,2.3M,2300000,1.7M,1700000,271.6K,271600,2.9K,2900,3.9K,3900
michou_yt,Michou,6.7M,6700000,3.6M,3600000,256.4K,256400,2.8K,2800,456,456
gregisms,Gregisms’ Neighborhood,2.2M,2200000,975.5K,975500,168K,168000,6.7K,6700,11.6K,11600
butt.erhand,Lucie,176.4K,176400,2.2M,2200000,201.5K,201500,514,514,6.2K,6200
gbandme,GB and ME,5.7M,5700000,1.6M,1600000,250.1K,250100,4.8K,4800,2.7K,2700
fransfaisal_real,frans faisal,272.9K,272900,2.5M,2500000,278.8K,278800,3.3K,3300,926,926
officialjellyroll,Jelly Roll,2.4M,2400000,2.3M,2300000,290.8K,290800,2.6K,2600,1.8K,1800
lossiblings_,Lossiblings🍭,23.6M,23600000,2.8M,2800000,396.9K,396900,1.8K,1800,863,863
davidgetial,deivis,13.3M,13300000,3.2M,3200000,439.4K,439400,1.8K,1800,302,302
zodiac.boyfriend,Zodiac Boyfriend🪐🔮,1.6M,1600000,1.6M,1600000,219.7K,219700,3.6K,3600,4.7K,4700
michellerenaud,Michelle Renaud,2.3M,2300000,4.2M,4200000,357.8K,357800,1.1K,1100,801,801
kelvin__silvaa,Kelvin__silvaaa,3.4M,3400000,2M,2000000,163.6K,163600,1.1K,1100,7.7K,7700
user4350486101671,user4350486101671,16.2M,16200000,1.6M,1600000,302.3K,302300,4.7K,4700,1.3K,1300
jeison_giraldo,JeisonGiraldo,24.6M,24600000,3.4M,3400000,426.5K,426500,1.7K,1700,300,300
chrisdelia,ChrisDElia,1.7M,1700000,1.8M,1800000,268.5K,268500,643,643,5.5K,5500
lightskinkeisha,LightSkinKeisha,1.9M,1900000,2M,2000000,303.2K,303200,1.2K,1200,3.5K,3500
larasilvan,Tik Toker,15.9M,15900000,1.8M,1800000,351.3K,351300,3.4K,3400,1.1K,1100
la_lerma,LERMITA,11.6M,11600000,2.7M,2700000,354.3K,354300,1.2K,1200,1.8K,1800
duolingo,Duolingo,3.4M,3400000,1.5M,1500000,281.1K,281100,4.5K,4500,2.3K,2300
danythegaggio,Daniele Cabras,2.7M,2700000,1.4M,1400000,214.2K,214200,1.7K,1700,7.8K,7800
dari_wadha_home,Dari_wadha_home,1.4M,1400000,2.9M,2900000,182.1K,182100,2.4K,2400,2.9K,2900
pkllipe,Pk,16.5M,16500000,2.2M,2200000,383.9K,383900,1.6K,1600,1.8K,1800
aloserishere_,𝙇𝙤𝙨𝙚𝙧.,159.4K,159400,1.1M,1100000,165.5K,165500,6.6K,6600,8.8K,8800
olivertree,Oliver Tree,12.5M,12500000,3M,3000000,324.1K,324100,1.8K,1800,1.1K,1100
lonely.moods,:),354.5K,354500,815.5K,815500,214K,214000,5.4K,5400,10.6K,10600
jessnolimit999,Jess No Limit,5.3M,5300000,2.7M,2700000,264.7K,264700,3.1K,3100,877,877
sooshimango,Sooshi Mango,483.4K,483400,1.1M,1100000,100.7K,100700,3.5K,3500,21.7K,21700
